Time_spent_Alone,Social_event_attendance,Friends_circle_size,Going_outside,Post_frequency,Personality,Stage_fear,Drained_after_socializing,id
2,6,10,5,6,Extrovert,No,No,102486
2,6,9,5,6,Extrovert,No,No,102487
7,2,3,2,2,Introvert,Yes,Yes,102488
7,2,3,2,2,Introvert,Yes,Yes,102489
2,6,10,5,6,Extrovert,No,No,102490
2,6,9,5,6,Extrovert,No,No,102491
2,6,10,5,6,Extrovert,No,No,102492
7,2,3,2,2,Introvert,Yes,Yes,102493
2,6,9,5,6,Extrovert,No,No,102494
7,2,4,2,2,Introvert,Yes,Yes,102495
7,2,4,2,2,Introvert,Yes,Yes,102496
2,6,9,5,6,Extrovert,No,No,102497
2,6,10,5,6,Extrovert,No,No,102498
7,2,3,2,2,Introvert,Yes,Yes,102499
7,2,4,2,2,Introvert,Yes,Yes,102500
7,2,3,2,2,Introvert,Yes,Yes,102501
2,6,10,5,6,Extrovert,No,No,102502
6,2,4,2,2,Introvert,Yes,Yes,102503
7,2,3,2,2,Introvert,Yes,Yes,102504
2,6,9,5,6,Extrovert,No,No,102505
2,6,10,5,6,Extrovert,No,No,102506
2,6,9,5,6,Extrovert,No,No,102507
2,6,9,5,6,Extrovert,No,No,102508
2,6,9,5,6,Extrovert,No,No,102509
7,2,4,2,2,Introvert,Yes,Yes,102510
2,7,10,5,6,Extrovert,No,No,102511
7,2,3,2,2,Introvert,Yes,Yes,102512
2,6,9,5,6,Extrovert,No,No,102513
7,2,3,2,2,Introvert,Yes,Yes,102514
2,6,9,5,6,Extrovert,No,No,102515
7,2,4,2,2,Introvert,Yes,Yes,102516
2,6,9,5,6,Extrovert,No,No,102517
7,2,4,2,2,Introvert,Yes,Yes,102518
7,2,4,2,2,Introvert,Yes,Yes,102519
7,2,4,2,2,Introvert,Yes,Yes,102520
2,6,9,5,6,Extrovert,No,No,102521
2,6,9,5,6,Extrovert,No,No,102522
7,2,4,2,2,Introvert,Yes,Yes,102523
2,6,9,5,6,Extrovert,No,No,102524
7,2,4,2,2,Introvert,Yes,Yes,102525
2,6,10,5,6,Extrovert,No,No,102526
2,6,10,5,6,Extrovert,No,No,102527
2,6,10,5,6,Extrovert,No,No,102528
7,2,4,2,2,Introvert,Yes,Yes,102529
2,6,10,5,6,Extrovert,No,No,102530
7,2,4,2,2,Introvert,Yes,Yes,102531
2,6,9,5,6,Extrovert,No,No,102532
2,6,9,5,6,Extrovert,No,No,102533
7,2,4,2,2,Introvert,Yes,Yes,102534
7,2,4,2,2,Introvert,Yes,Yes,102535
7,2,4,2,2,Introvert,Yes,Yes,102536
2,6,9,5,6,Extrovert,No,No,102537
2,6,10,5,6,Extrovert,No,No,102538
7,2,3,2,2,Introvert,Yes,Yes,102539
7,3,4,2,2,Introvert,Yes,Yes,102540
7,2,4,2,2,Introvert,Yes,Yes,102541
2,6,9,5,6,Extrovert,No,No,102542
2,6,9,5,6,Extrovert,No,No,102543
7,2,4,2,2,Introvert,Yes,Yes,102544
7,2,3,2,2,Introvert,Yes,Yes,102545
2,6,9,5,6,Extrovert,No,No,102546
2,6,9,5,6,Extrovert,No,No,102547
7,2,4,2,2,Introvert,Yes,Yes,102548
2,6,9,5,6,Extrovert,No,No,102549
7,2,4,2,2,Introvert,Yes,Yes,102550
7,2,4,2,2,Introvert,Yes,Yes,102551
2,6,9,5,6,Extrovert,No,No,102552
7,2,4,2,2,Introvert,Yes,Yes,102553
7,2,3,2,2,Introvert,Yes,Yes,102554
7,2,4,2,2,Introvert,Yes,Yes,102555
2,6,10,5,6,Extrovert,No,No,102556
2,6,9,5,6,Extrovert,No,No,102557
2,6,9,5,6,Extrovert,No,No,102558
7,2,3,2,2,Introvert,Yes,Yes,102559
2,6,9,5,6,Extrovert,No,No,102560
2,6,10,5,6,Extrovert,No,No,102561
2,6,9,5,6,Extrovert,No,No,102562
6,3,4,2,2,Introvert,Yes,Yes,102563
2,6,10,5,6,Extrovert,No,No,102564
7,2,4,2,2,Introvert,Yes,Yes,102565
7,2,3,2,2,Introvert,Yes,Yes,102566
2,6,9,5,6,Extrovert,No,No,102567
2,6,9,5,6,Extrovert,No,No,102568
2,6,10,5,6,Extrovert,No,No,102569
2,6,9,5,6,Extrovert,No,No,102570
2,6,10,5,6,Extrovert,No,No,102571
2,6,9,5,6,Extrovert,No,No,102572
7,2,4,2,2,Introvert,Yes,Yes,102573
7,2,3,2,2,Introvert,Yes,Yes,102574
7,2,4,2,2,Introvert,Yes,Yes,102575
7,2,4,2,2,Introvert,Yes,Yes,102576
7,2,4,2,2,Introvert,Yes,Yes,102577
2,6,9,5,6,Extrovert,No,No,102578
7,2,4,2,2,Introvert,Yes,Yes,102579
2,6,10,5,6,Extrovert,No,No,102580
7,2,4,2,2,Introvert,Yes,Yes,102581
2,6,10,5,6,Extrovert,No,No,102582
2,6,10,5,6,Extrovert,No,No,102583
2,6,9,5,6,Extrovert,No,No,102584
2,6,9,5,6,Extrovert,No,No,102585
7,2,4,2,2,Introvert,Yes,Yes,102586
7,2,4,2,2,Introvert,Yes,Yes,102587
2,6,9,5,6,Extrovert,No,No,102588
7,2,4,2,2,Introvert,Yes,Yes,102589
7,2,3,2,2,Introvert,Yes,Yes,102590
7,2,4,2,2,Introvert,Yes,Yes,102591
2,6,9,5,6,Extrovert,No,No,102592
7,2,3,2,2,Introvert,Yes,Yes,102593
2,6,9,5,6,Extrovert,No,No,102594
7,2,4,2,2,Introvert,Yes,Yes,102595
7,2,4,2,2,Introvert,Yes,Yes,102596
7,2,4,2,2,Introvert,Yes,Yes,102597
2,6,9,5,6,Extrovert,No,No,102598
2,6,9,5,6,Extrovert,No,No,102599
2,6,10,5,6,Extrovert,No,No,102600
7,2,4,2,2,Introvert,Yes,Yes,102601
7,2,4,2,2,Introvert,Yes,Yes,102602
2,6,9,5,6,Extrovert,No,No,102603
3,6,9,5,6,Extrovert,No,No,102604
7,2,4,2,2,Introvert,Yes,Yes,102605
2,6,10,5,6,Extrovert,No,No,102606
7,2,3,2,2,Introvert,Yes,Yes,102607
2,6,9,5,6,Extrovert,No,No,102608
7,2,4,2,2,Introvert,Yes,Yes,102609
7,2,4,2,2,Introvert,Yes,Yes,102610
2,6,9,5,6,Extrovert,No,No,102611
7,2,3,2,2,Introvert,Yes,Yes,102612
2,6,10,5,6,Extrovert,No,No,102613
7,2,4,2,2,Introvert,Yes,Yes,102614
7,2,4,2,2,Introvert,Yes,Yes,102615
7,2,3,2,2,Introvert,Yes,Yes,102616
2,6,10,5,6,Extrovert,No,No,102617
2,6,10,5,6,Extrovert,No,No,102618
2,6,10,5,6,Extrovert,No,No,102619
7,2,4,2,2,Introvert,Yes,Yes,102620
7,2,3,2,2,Introvert,Yes,Yes,102621
7,2,3,2,2,Introvert,Yes,Yes,102622
7,2,3,2,2,Introvert,Yes,Yes,102623
7,2,4,2,2,Introvert,Yes,Yes,102624
2,6,10,5,6,Extrovert,No,No,102625
7,2,4,2,2,Introvert,Yes,Yes,102626
7,2,4,2,2,Introvert,Yes,Yes,102627
2,6,9,5,6,Extrovert,No,No,102628
2,6,9,5,6,Extrovert,No,No,102629
2,7,10,5,6,Extrovert,No,No,102630
2,6,9,5,6,Extrovert,No,No,102631
7,2,3,2,2,Introvert,Yes,Yes,102632
7,2,4,2,2,Introvert,Yes,Yes,102633
2,6,9,5,6,Extrovert,No,No,102634
2,6,9,5,6,Extrovert,No,No,102635
2,6,10,5,6,Extrovert,No,No,102636
7,2,4,2,2,Introvert,Yes,Yes,102637
2,6,9,5,6,Extrovert,No,No,102638
2,6,9,5,6,Extrovert,No,No,102639
7,2,3,2,2,Introvert,Yes,Yes,102640
2,6,9,5,6,Extrovert,No,No,102641
2,6,10,5,6,Extrovert,No,No,102642
2,6,9,5,6,Extrovert,No,No,102643
2,6,9,5,6,Extrovert,No,No,102644
7,2,4,2,2,Introvert,Yes,Yes,102645
7,2,3,2,2,Introvert,Yes,Yes,102646
7,2,4,2,2,Introvert,Yes,Yes,102647
2,6,9,5,6,Extrovert,No,No,102648
2,6,9,5,6,Extrovert,No,No,102649
2,6,10,5,6,Extrovert,No,No,102650
2,6,10,5,6,Extrovert,No,No,102651
7,2,4,2,2,Introvert,Yes,Yes,102652
7,2,4,2,2,Introvert,Yes,Yes,102653
7,2,4,2,2,Introvert,Yes,Yes,102654
2,6,9,5,6,Extrovert,No,No,102655
7,2,4,2,2,Introvert,Yes,Yes,102656
7,2,4,2,2,Introvert,Yes,Yes,102657
2,6,10,5,6,Extrovert,No,No,102658
2,6,9,5,6,Extrovert,No,No,102659
2,6,9,5,6,Extrovert,No,No,102660
7,2,4,2,2,Introvert,Yes,Yes,102661
7,2,3,2,2,Introvert,Yes,Yes,102662
2,6,9,5,6,Extrovert,No,No,102663
7,2,4,2,2,Introvert,Yes,Yes,102664
7,2,3,2,2,Introvert,Yes,Yes,102665
2,6,9,5,6,Extrovert,No,No,102666
2,6,9,5,6,Extrovert,No,No,102667
2,6,9,5,6,Extrovert,No,No,102668
2,6,9,5,6,Extrovert,No,No,102669
7,2,4,2,2,Introvert,Yes,Yes,102670
7,2,4,2,2,Introvert,Yes,Yes,102671
2,6,9,5,6,Extrovert,No,No,102672
7,2,4,2,2,Introvert,Yes,Yes,102673
2,6,10,5,6,Extrovert,No,No,102674
7,2,4,2,2,Introvert,Yes,Yes,102675
2,6,10,5,6,Extrovert,No,No,102676
7,2,4,2,2,Introvert,Yes,Yes,102677
7,2,4,2,2,Introvert,Yes,Yes,102678
2,6,10,5,6,Extrovert,No,No,102679
7,2,4,2,2,Introvert,Yes,Yes,102680
7,2,4,2,2,Introvert,Yes,Yes,102681
7,2,3,2,2,Introvert,Yes,Yes,102682
2,6,9,5,6,Extrovert,No,No,102683
2,6,9,5,6,Extrovert,No,No,102684
7,2,4,2,2,Introvert,Yes,Yes,102685
2,6,9,5,6,Extrovert,No,No,102686
7,2,4,2,2,Introvert,Yes,Yes,102687
2,6,9,5,6,Extrovert,No,No,102688
2,6,10,5,6,Extrovert,No,No,102689
7,2,4,2,2,Introvert,Yes,Yes,102690
2,6,9,5,6,Extrovert,No,No,102691
7,2,4,2,2,Introvert,Yes,Yes,102692
6,2,4,2,2,Introvert,Yes,Yes,102693
7,2,4,2,2,Introvert,Yes,Yes,102694
2,6,9,5,6,Extrovert,No,No,102695
2,6,9,5,6,Extrovert,No,No,102696
7,2,3,2,2,Introvert,Yes,Yes,102697
2,6,9,5,6,Extrovert,No,No,102698
2,6,9,5,6,Extrovert,No,No,102699
2,6,9,5,6,Extrovert,No,No,102700
7,2,4,2,2,Introvert,Yes,Yes,102701
7,2,4,2,2,Introvert,Yes,Yes,102702
7,2,3,2,2,Introvert,Yes,Yes,102703
2,6,9,5,6,Extrovert,No,No,102704
2,6,9,5,6,Extrovert,No,No,102705
7,2,4,2,2,Introvert,Yes,Yes,102706
2,6,9,5,6,Extrovert,No,No,102707
2,6,9,5,6,Extrovert,No,No,102708
2,6,9,5,6,Extrovert,No,No,102709
2,6,9,5,6,Extrovert,No,No,102710
7,2,4,2,2,Introvert,Yes,Yes,102711
7,2,4,2,2,Introvert,Yes,Yes,102712
7,2,3,2,2,Introvert,Yes,Yes,102713
7,2,3,2,2,Introvert,Yes,Yes,102714
7,2,3,2,2,Introvert,Yes,Yes,102715
2,6,10,5,6,Extrovert,No,No,102716
7,2,3,2,2,Introvert,Yes,Yes,102717
2,6,9,5,6,Extrovert,No,No,102718
7,2,3,2,2,Introvert,Yes,Yes,102719
7,2,4,2,2,Introvert,Yes,Yes,102720
7,2,4,2,2,Introvert,Yes,Yes,102721
2,6,9,5,6,Extrovert,No,No,102722
2,6,9,5,6,Extrovert,No,No,102723
2,6,9,5,6,Extrovert,No,No,102724
2,6,9,5,6,Extrovert,No,No,102725
7,2,3,2,2,Introvert,Yes,Yes,102726
7,2,4,2,2,Introvert,Yes,Yes,102727
2,6,9,5,6,Extrovert,No,No,102728
2,6,9,5,6,Extrovert,No,No,102729
7,2,3,2,2,Introvert,Yes,Yes,102730
7,2,3,2,2,Introvert,Yes,Yes,102731
7,2,4,2,2,Introvert,Yes,Yes,102732
7,2,4,2,2,Introvert,Yes,Yes,102733
7,2,4,2,2,Introvert,Yes,Yes,102734
7,2,3,2,2,Introvert,Yes,Yes,102735
7,2,3,2,2,Introvert,Yes,Yes,102736
7,2,4,2,2,Introvert,Yes,Yes,102737
7,2,4,2,2,Introvert,Yes,Yes,102738
7,2,3,2,2,Introvert,Yes,Yes,102739
7,2,4,2,2,Introvert,Yes,Yes,102740
7,2,4,2,2,Introvert,Yes,Yes,102741
2,6,9,5,6,Extrovert,No,No,102742
2,6,9,5,6,Extrovert,No,No,102743
7,2,3,2,2,Introvert,Yes,Yes,102744
2,6,9,5,6,Extrovert,No,No,102745
2,6,10,5,6,Extrovert,No,No,102746
7,2,4,2,2,Introvert,Yes,Yes,102747
7,2,4,2,2,Introvert,Yes,Yes,102748
7,2,4,2,2,Introvert,Yes,Yes,102749
7,2,4,2,2,Introvert,Yes,Yes,102750
7,2,4,2,2,Introvert,Yes,Yes,102751
7,2,4,2,2,Introvert,Yes,Yes,102752
2,6,9,5,6,Extrovert,No,No,102753
7,2,4,2,2,Introvert,Yes,Yes,102754
2,6,10,5,6,Extrovert,No,No,102755
7,2,4,2,2,Introvert,Yes,Yes,102756
7,2,3,2,2,Introvert,Yes,Yes,102757
2,6,9,5,6,Extrovert,No,No,102758
2,6,10,5,6,Extrovert,No,No,102759
7,2,4,2,2,Introvert,Yes,Yes,102760
7,2,3,2,2,Introvert,Yes,Yes,102761
2,6,9,5,6,Extrovert,No,No,102762
7,2,3,2,1,Introvert,Yes,Yes,102763
7,2,4,2,2,Introvert,Yes,Yes,102764
7,2,4,2,2,Introvert,Yes,Yes,102765
2,6,9,5,6,Extrovert,No,No,102766
7,2,3,2,2,Introvert,Yes,Yes,102767
7,2,4,2,2,Introvert,Yes,Yes,102768
7,2,4,2,2,Introvert,Yes,Yes,102769
2,6,9,5,6,Extrovert,No,No,102770
7,2,3,2,2,Introvert,Yes,Yes,102771
7,2,3,2,2,Introvert,Yes,Yes,102772
2,6,9,5,6,Extrovert,No,No,102773
7,2,4,2,2,Introvert,Yes,Yes,102774
7,2,4,2,2,Introvert,Yes,Yes,102775
2,6,9,5,6,Extrovert,No,No,102776
7,2,4,2,2,Introvert,Yes,Yes,102777
7,2,4,2,2,Introvert,Yes,Yes,102778
7,2,4,2,2,Introvert,Yes,Yes,102779
2,6,10,5,6,Extrovert,No,No,102780
7,2,3,2,2,Introvert,Yes,Yes,102781
7,2,3,2,2,Introvert,Yes,Yes,102782
2,6,9,5,6,Extrovert,No,No,102783
2,6,10,5,6,Extrovert,No,No,102784
7,2,3,2,2,Introvert,Yes,Yes,102785
2,6,9,5,6,Extrovert,No,No,102786
2,6,9,5,6,Extrovert,No,No,102787
2,6,9,5,6,Extrovert,No,No,102788
2,6,9,5,6,Extrovert,No,No,102789
7,2,4,2,2,Introvert,Yes,Yes,102790
2,6,10,5,6,Extrovert,No,No,102791
7,2,3,2,2,Introvert,Yes,Yes,102792
2,6,9,5,6,Extrovert,No,No,102793
7,2,4,2,2,Introvert,Yes,Yes,102794
7,2,4,2,2,Introvert,Yes,Yes,102795
7,2,3,2,2,Introvert,Yes,Yes,102796
2,6,9,5,6,Extrovert,No,No,102797
7,2,3,2,2,Introvert,Yes,Yes,102798
7,2,4,2,2,Introvert,Yes,Yes,102799
2,6,9,5,6,Extrovert,No,No,102800
2,6,9,5,6,Extrovert,No,No,102801
2,6,10,5,6,Extrovert,No,No,102802
2,6,10,5,6,Extrovert,No,No,102803
7,2,4,2,2,Introvert,Yes,Yes,102804
2,6,10,5,6,Extrovert,No,No,102805
2,6,9,5,6,Extrovert,No,No,102806
2,6,9,5,6,Extrovert,No,No,102807
2,6,10,5,6,Extrovert,No,No,102808
2,6,10,5,6,Extrovert,No,No,102809
2,6,10,5,6,Extrovert,No,No,102810
2,6,9,5,6,Extrovert,No,No,102811
2,6,9,5,6,Extrovert,No,No,102812
2,7,9,5,6,Extrovert,No,No,102813
7,2,4,2,2,Introvert,Yes,Yes,102814
2,6,9,5,6,Extrovert,No,No,102815
2,6,9,5,6,Extrovert,No,No,102816
7,2,3,2,2,Introvert,Yes,Yes,102817
7,2,4,2,2,Introvert,Yes,Yes,102818
7,2,3,2,2,Introvert,Yes,Yes,102819
7,2,4,2,2,Introvert,Yes,Yes,102820
2,6,10,5,6,Extrovert,No,No,102821
7,2,4,2,2,Introvert,Yes,Yes,102822
7,2,3,2,2,Introvert,Yes,Yes,102823
7,2,4,2,2,Introvert,Yes,Yes,102824
2,6,10,5,6,Extrovert,No,No,102825
2,6,9,5,6,Extrovert,No,No,102826
2,6,10,5,6,Extrovert,No,No,102827
2,6,9,5,6,Extrovert,No,No,102828
2,6,9,5,6,Extrovert,No,No,102829
2,6,9,5,6,Extrovert,No,No,102830
2,6,9,5,6,Extrovert,No,No,102831
7,2,3,2,2,Introvert,Yes,Yes,102832
7,2,4,2,2,Introvert,Yes,Yes,102833
2,6,10,5,6,Extrovert,No,No,102834
2,6,10,5,6,Extrovert,No,No,102835
7,2,3,2,2,Introvert,Yes,Yes,102836
2,6,10,5,6,Extrovert,No,No,102837
2,6,9,5,6,Extrovert,No,No,102838
7,2,3,2,2,Introvert,Yes,Yes,102839
2,6,9,5,6,Extrovert,No,No,102840
2,6,9,5,6,Extrovert,No,No,102841
7,2,4,2,2,Introvert,Yes,Yes,102842
7,2,3,2,2,Introvert,Yes,Yes,102843
2,6,10,5,6,Extrovert,No,No,102844
7,2,4,2,2,Introvert,Yes,Yes,102845
7,2,4,2,2,Introvert,Yes,Yes,102846
7,2,4,2,2,Introvert,Yes,Yes,102847
2,6,9,5,6,Extrovert,No,No,102848
2,6,9,5,6,Extrovert,No,No,102849
7,2,4,2,2,Introvert,Yes,Yes,102850
7,2,4,2,2,Introvert,Yes,Yes,102851
2,6,10,5,6,Extrovert,No,No,102852
2,6,10,5,6,Extrovert,No,No,102853
7,2,4,2,2,Introvert,Yes,Yes,102854
6,3,4,2,2,Introvert,Yes,Yes,102855
7,2,3,2,2,Introvert,Yes,Yes,102856
7,2,3,2,2,Introvert,Yes,Yes,102857
7,2,4,2,2,Introvert,Yes,Yes,102858
2,6,9,5,6,Extrovert,No,No,102859
7,2,4,2,2,Introvert,Yes,Yes,102860
7,2,4,2,2,Introvert,Yes,Yes,102861
7,2,3,2,2,Introvert,Yes,Yes,102862
2,6,10,5,6,Extrovert,No,No,102863
2,6,9,5,6,Extrovert,No,No,102864
2,6,9,5,6,Extrovert,No,No,102865
7,2,3,2,2,Introvert,Yes,Yes,102866
7,2,3,2,2,Introvert,Yes,Yes,102867
7,2,4,2,2,Introvert,Yes,Yes,102868
7,2,4,2,2,Introvert,Yes,Yes,102869
2,6,9,5,6,Extrovert,No,No,102870
7,2,4,2,2,Introvert,Yes,Yes,102871
2,6,10,5,6,Extrovert,No,No,102872
2,6,10,5,6,Extrovert,No,No,102873
2,6,10,5,6,Extrovert,No,No,102874
2,6,9,5,6,Extrovert,No,No,102875
7,2,3,2,2,Introvert,Yes,Yes,102876
7,2,4,2,2,Introvert,Yes,Yes,102877
2,6,9,5,6,Extrovert,No,No,102878
2,6,9,5,6,Extrovert,No,No,102879
2,6,9,5,6,Extrovert,No,No,102880
2,6,9,5,6,Extrovert,No,No,102881
2,6,9,5,6,Extrovert,No,No,102882
7,2,4,2,2,Introvert,Yes,Yes,102883
2,6,10,5,6,Extrovert,No,No,102884
7,2,3,2,2,Introvert,Yes,Yes,102885
7,2,4,2,2,Introvert,Yes,Yes,102886
7,2,4,2,2,Introvert,Yes,Yes,102887
7,2,3,2,2,Introvert,Yes,Yes,102888
7,2,4,2,2,Introvert,Yes,Yes,102889
6,3,4,2,2,Introvert,Yes,Yes,102890
7,2,3,2,2,Introvert,Yes,Yes,102891
7,2,3,2,2,Introvert,Yes,Yes,102892
2,6,10,5,6,Extrovert,No,No,102893
2,6,9,5,6,Extrovert,No,No,102894
7,2,4,2,2,Introvert,Yes,Yes,102895
2,6,9,5,6,Extrovert,No,No,102896
2,6,10,5,6,Extrovert,No,No,102897
2,6,9,5,6,Extrovert,No,No,102898
2,6,9,5,6,Extrovert,No,No,102899
7,2,4,2,2,Introvert,Yes,Yes,102900
2,6,10,5,6,Extrovert,No,No,102901
2,6,9,5,6,Extrovert,No,No,102902
2,6,10,5,6,Extrovert,No,No,102903
2,6,10,5,6,Extrovert,No,No,102904
7,2,4,2,2,Introvert,Yes,Yes,102905
2,6,10,5,6,Extrovert,No,No,102906
2,6,10,5,6,Extrovert,No,No,102907
7,2,4,2,2,Introvert,Yes,Yes,102908
2,6,10,5,6,Extrovert,No,No,102909
7,2,4,2,2,Introvert,Yes,Yes,102910
7,2,4,2,2,Introvert,Yes,Yes,102911
2,6,10,5,6,Extrovert,No,No,102912
2,6,9,5,6,Extrovert,No,No,102913
7,2,4,2,2,Introvert,Yes,Yes,102914
2,6,10,5,6,Extrovert,No,No,102915
7,2,4,2,2,Introvert,Yes,Yes,102916
6,3,4,2,2,Introvert,Yes,Yes,102917
2,6,9,5,6,Extrovert,No,No,102918
2,6,9,5,6,Extrovert,No,No,102919
2,6,10,5,6,Extrovert,No,No,102920
2,6,10,5,6,Extrovert,No,No,102921
7,2,4,2,2,Introvert,Yes,Yes,102922
2,6,10,5,6,Extrovert,No,No,102923
7,2,4,2,2,Introvert,Yes,Yes,102924
2,6,9,5,6,Extrovert,No,No,102925
7,2,3,2,2,Introvert,Yes,Yes,102926
2,6,9,5,6,Extrovert,No,No,102927
7,2,4,2,2,Introvert,Yes,Yes,102928
2,6,10,5,6,Extrovert,No,No,102929
2,6,9,5,6,Extrovert,No,No,102930
2,6,10,5,6,Extrovert,No,No,102931
2,6,10,5,6,Extrovert,No,No,102932
7,2,4,2,2,Introvert,Yes,Yes,102933
7,2,4,2,2,Introvert,Yes,Yes,102934
7,2,4,2,2,Introvert,Yes,Yes,102935
7,2,4,2,2,Introvert,Yes,Yes,102936
2,6,9,5,6,Extrovert,No,No,102937
2,6,9,5,6,Extrovert,No,No,102938
7,2,4,2,2,Introvert,Yes,Yes,102939
2,6,9,5,6,Extrovert,No,No,102940
2,6,9,5,6,Extrovert,No,No,102941
2,6,9,5,6,Extrovert,No,No,102942
2,6,10,5,6,Extrovert,No,No,102943
7,2,3,2,2,Introvert,Yes,Yes,102944
2,6,9,5,6,Extrovert,No,No,102945
7,2,3,2,2,Introvert,Yes,Yes,102946
2,6,9,5,6,Extrovert,No,No,102947
7,2,3,2,2,Introvert,Yes,Yes,102948
2,6,10,5,6,Extrovert,No,No,102949
7,2,4,2,2,Introvert,Yes,Yes,102950
7,2,4,2,2,Introvert,Yes,Yes,102951
7,2,4,2,2,Introvert,Yes,Yes,102952
7,2,3,2,2,Introvert,Yes,Yes,102953
2,6,10,5,6,Extrovert,No,No,102954
2,6,10,5,6,Extrovert,No,No,102955
7,2,4,2,2,Introvert,Yes,Yes,102956
6,2,4,2,2,Introvert,Yes,Yes,102957
7,2,4,2,2,Introvert,Yes,Yes,102958
7,2,4,2,2,Introvert,Yes,Yes,102959
2,6,9,5,6,Extrovert,No,No,102960
2,6,9,5,6,Extrovert,No,No,102961
2,6,9,5,6,Extrovert,No,No,102962
2,6,10,5,6,Extrovert,No,No,102963
2,6,9,5,6,Extrovert,No,No,102964
2,6,9,5,6,Extrovert,No,No,102965
2,6,9,5,6,Extrovert,No,No,102966
7,2,4,2,2,Introvert,Yes,Yes,102967
7,2,4,2,2,Introvert,Yes,Yes,102968
2,6,10,5,6,Extrovert,No,No,102969
6,2,4,2,2,Introvert,Yes,Yes,102970
2,6,10,5,6,Extrovert,No,No,102971
7,2,4,2,2,Introvert,Yes,Yes,102972
2,6,9,5,6,Extrovert,No,No,102973
2,6,9,5,6,Extrovert,No,No,102974
7,2,3,2,2,Introvert,Yes,Yes,102975
2,6,9,5,6,Extrovert,No,No,102976
7,2,3,2,2,Introvert,Yes,Yes,102977
7,2,4,2,2,Introvert,Yes,Yes,102978
2,6,9,5,6,Extrovert,No,No,102979
7,2,4,2,2,Introvert,Yes,Yes,102980
7,2,4,2,2,Introvert,Yes,Yes,102981
7,2,4,2,2,Introvert,Yes,Yes,102982
2,6,9,5,6,Extrovert,No,No,102983
2,6,10,5,6,Extrovert,No,No,102984
7,2,4,2,2,Introvert,Yes,Yes,102985
2,6,9,5,6,Extrovert,No,No,102986
7,2,4,2,2,Introvert,Yes,Yes,102987
2,6,9,5,6,Extrovert,No,No,102988
7,2,3,2,1,Introvert,Yes,Yes,102989
7,2,4,2,2,Introvert,Yes,Yes,102990
2,6,10,5,6,Extrovert,No,No,102991
2,6,9,5,6,Extrovert,No,No,102992
7,2,4,2,2,Introvert,Yes,Yes,102993
2,6,9,5,6,Extrovert,No,No,102994
2,6,9,5,6,Extrovert,No,No,102995
2,6,10,5,6,Extrovert,No,No,102996
2,6,10,5,6,Extrovert,No,No,102997
2,6,9,5,6,Extrovert,No,No,102998
7,2,3,2,2,Introvert,Yes,Yes,102999
2,6,10,5,6,Extrovert,No,No,103000
2,6,9,5,6,Extrovert,No,No,103001
2,6,9,5,6,Extrovert,No,No,103002
2,6,9,5,6,Extrovert,No,No,103003
7,2,3,2,2,Introvert,Yes,Yes,103004
7,2,4,2,2,Introvert,Yes,Yes,103005
7,2,3,2,2,Introvert,Yes,Yes,103006
2,6,10,5,6,Extrovert,No,No,103007
7,2,4,2,2,Introvert,Yes,Yes,103008
2,6,9,5,6,Extrovert,No,No,103009
7,2,4,2,2,Introvert,Yes,Yes,103010
7,2,4,2,2,Introvert,Yes,Yes,103011
2,6,9,5,6,Extrovert,No,No,103012
2,6,9,5,6,Extrovert,No,No,103013
2,6,10,5,6,Extrovert,No,No,103014
2,6,9,5,6,Extrovert,No,No,103015
2,6,9,5,6,Extrovert,No,No,103016
7,2,3,2,2,Introvert,Yes,Yes,103017
2,6,9,5,6,Extrovert,No,No,103018
2,6,9,5,6,Extrovert,No,No,103019
7,2,4,2,2,Introvert,Yes,Yes,103020
2,6,10,5,6,Extrovert,No,No,103021
2,6,10,5,6,Extrovert,No,No,103022
2,6,9,5,6,Extrovert,No,No,103023
2,6,10,5,6,Extrovert,No,No,103024
7,2,3,2,2,Introvert,Yes,Yes,103025
7,2,4,2,2,Introvert,Yes,Yes,103026
7,2,3,2,2,Introvert,Yes,Yes,103027
2,6,10,5,6,Extrovert,No,No,103028
7,2,3,2,2,Introvert,Yes,Yes,103029
7,2,3,2,2,Introvert,Yes,Yes,103030
2,6,9,5,6,Extrovert,No,No,103031
7,2,4,2,2,Introvert,Yes,Yes,103032
2,6,10,5,6,Extrovert,No,No,103033
2,6,9,5,6,Extrovert,No,No,103034
2,6,10,5,6,Extrovert,No,No,103035
2,6,9,5,6,Extrovert,No,No,103036
2,6,10,5,6,Extrovert,No,No,103037
7,2,3,2,2,Introvert,Yes,Yes,103038
7,2,3,2,2,Introvert,Yes,Yes,103039
2,6,9,5,6,Extrovert,No,No,103040
7,2,3,2,2,Introvert,Yes,Yes,103041
2,6,9,5,6,Extrovert,No,No,103042
2,6,9,5,6,Extrovert,No,No,103043
7,2,4,2,2,Introvert,Yes,Yes,103044
2,6,9,5,6,Extrovert,No,No,103045
2,6,9,5,6,Extrovert,No,No,103046
2,6,9,5,6,Extrovert,No,No,103047
2,6,9,5,6,Extrovert,No,No,103048
2,6,10,5,6,Extrovert,No,No,103049
2,6,9,5,6,Extrovert,No,No,103050
2,6,10,5,6,Extrovert,No,No,103051
2,6,9,5,6,Extrovert,No,No,103052
7,2,3,2,2,Introvert,Yes,Yes,103053
2,6,10,5,6,Extrovert,No,No,103054
7,2,4,2,2,Introvert,Yes,Yes,103055
