id,Time_spent_Alone,Stage_fear,Social_event_attendance,Going_outside,Drained_after_socializing,Friends_circle_size,Post_frequency,Personality
5417,2.0,No,9.0,4.0,No,15.0,7.0,Extrovert
5419,4.0,No,3.0,5.0,No,6.0,6.0,Extrovert
5420,2.0,No,7.0,3.0,No,14.0,8.0,Extrovert
5421,1.0,No,9.0,4.0,No,7.0,5.0,Extrovert
5422,0.0,No,9.0,4.0,No,12.0,9.0,Extrovert
5423,2.0,No,4.0,5.0,No,8.0,6.0,Extrovert
5424,2.0,,6.0,6.0,No,12.0,3.0,Extrovert
5425,0.0,No,4.0,7.0,No,10.0,7.0,Extrovert
5426,3.0,No,7.0,,No,9.0,5.0,Extrovert
5428,2.0,No,,4.0,No,12.0,8.0,Extrovert
5429,2.0,No,5.0,3.0,No,9.0,4.0,Extrovert
5430,4.0,No,7.0,5.0,No,7.0,4.0,Extrovert
5432,0.0,No,7.0,6.0,No,4.0,6.0,Extrovert
5433,5.0,Yes,1.0,0.0,Yes,,,Introvert
5434,1.0,No,8.0,6.0,No,11.0,4.0,Extrovert
5435,0.0,Yes,3.0,1.0,Yes,2.0,,Introvert
5436,3.0,No,4.0,4.0,No,8.0,,Extrovert
5437,5.0,Yes,2.0,0.0,Yes,2.0,3.0,Introvert
5438,0.0,No,8.0,6.0,No,9.0,4.0,Extrovert
5440,5.0,Yes,2.0,1.0,,0.0,2.0,Introvert
5442,1.0,No,9.0,3.0,No,5.0,8.0,Extrovert
5443,3.0,No,9.0,5.0,No,14.0,10.0,Extrovert
5444,0.0,,4.0,4.0,No,11.0,3.0,Extrovert
5445,0.0,No,4.0,3.0,No,14.0,5.0,Extrovert
5446,2.0,No,6.0,3.0,No,6.0,3.0,Extrovert
5447,1.0,No,4.0,7.0,No,6.0,8.0,Extrovert
5450,0.0,No,4.0,6.0,No,6.0,8.0,Extrovert
5452,3.0,No,9.0,3.0,No,10.0,6.0,Extrovert
5453,0.0,No,7.0,5.0,No,10.0,8.0,Extrovert
5454,0.0,No,9.0,3.0,No,13.0,6.0,Extrovert
5455,0.0,No,5.0,3.0,No,8.0,3.0,Extrovert
5456,6.0,Yes,2.0,,Yes,2.0,3.0,Introvert
5458,2.0,No,7.0,3.0,No,14.0,3.0,Extrovert
5459,1.0,No,10.0,6.0,No,14.0,5.0,Extrovert
5460,0.0,No,5.0,3.0,No,11.0,6.0,Extrovert
5461,8.0,Yes,2.0,2.0,,4.0,1.0,Introvert
5462,0.0,No,5.0,,No,12.0,5.0,Extrovert
5463,2.0,No,9.0,6.0,No,15.0,3.0,Extrovert
5464,0.0,No,5.0,7.0,No,4.0,6.0,Extrovert
5465,2.0,No,4.0,7.0,No,7.0,8.0,Extrovert
5466,1.0,No,8.0,4.0,No,,7.0,Extrovert
5468,3.0,,4.0,6.0,No,5.0,8.0,Extrovert
5469,11.0,Yes,2.0,1.0,Yes,4.0,,Introvert
5470,2.0,No,7.0,4.0,,8.0,7.0,Extrovert
5471,1.0,No,,6.0,No,9.0,5.0,Extrovert
5472,,No,4.0,5.0,No,12.0,7.0,Extrovert
5473,4.0,Yes,,1.0,Yes,1.0,3.0,Introvert
5474,1.0,No,4.0,3.0,No,14.0,4.0,Extrovert
5475,3.0,No,9.0,6.0,No,12.0,6.0,Extrovert
5476,0.0,No,7.0,6.0,No,9.0,8.0,Extrovert
5477,1.0,No,5.0,7.0,No,9.0,5.0,Extrovert
5478,1.0,No,8.0,4.0,No,14.0,8.0,Extrovert
5479,9.0,Yes,0.0,,Yes,4.0,0.0,Introvert
5480,6.0,Yes,2.0,0.0,Yes,2.0,3.0,Introvert
5481,1.0,No,6.0,,No,14.0,8.0,Extrovert
5482,2.0,No,6.0,4.0,No,15.0,7.0,Extrovert
5483,3.0,No,7.0,6.0,No,8.0,3.0,Extrovert
5484,0.0,No,4.0,5.0,No,8.0,5.0,Extrovert
5485,5.0,Yes,3.0,3.0,Yes,2.0,,Introvert
5486,3.0,No,7.0,4.0,No,,6.0,Extrovert
5487,4.0,Yes,1.0,3.0,Yes,4.0,3.0,Introvert
5489,6.0,Yes,1.0,1.0,Yes,2.0,,Introvert
5490,0.0,No,6.0,,No,15.0,7.0,Extrovert
5491,1.0,No,9.0,6.0,No,9.0,4.0,Extrovert
5492,1.0,No,7.0,4.0,No,5.0,,Extrovert
5494,0.0,No,9.0,,No,14.0,5.0,Extrovert
5495,10.0,Yes,,1.0,Yes,0.0,1.0,Introvert
5496,1.0,No,4.0,4.0,No,15.0,6.0,Extrovert
5498,1.0,,5.0,7.0,No,8.0,6.0,Extrovert
5500,11.0,Yes,3.0,3.0,Yes,5.0,1.0,Introvert
5501,2.0,No,4.0,,No,12.0,5.0,Extrovert
5503,7.0,,2.0,0.0,Yes,,2.0,Introvert
5504,2.0,No,9.0,4.0,No,10.0,6.0,Extrovert
5505,3.0,No,10.0,4.0,No,11.0,8.0,Extrovert
5508,6.0,Yes,1.0,2.0,Yes,0.0,0.0,Introvert
5509,6.0,Yes,,2.0,Yes,0.0,0.0,Introvert
5510,,No,,5.0,No,8.0,7.0,Extrovert
5511,0.0,No,7.0,4.0,No,15.0,7.0,Extrovert
5513,10.0,Yes,3.0,1.0,Yes,0.0,1.0,Introvert
5514,3.0,No,,4.0,No,14.0,5.0,Extrovert
5515,11.0,Yes,2.0,0.0,Yes,5.0,2.0,Introvert
5517,9.0,Yes,1.0,3.0,Yes,5.0,3.0,Introvert
5518,,No,8.0,3.0,No,15.0,7.0,Extrovert
5520,0.0,,4.0,5.0,No,,3.0,Extrovert
5521,4.0,No,6.0,4.0,No,10.0,3.0,Extrovert
5522,2.0,No,5.0,5.0,No,8.0,6.0,Extrovert
5524,0.0,No,6.0,4.0,No,12.0,5.0,Extrovert
5525,,No,8.0,4.0,No,11.0,6.0,Extrovert
5526,0.0,No,5.0,5.0,No,8.0,6.0,Extrovert
5528,0.0,No,6.0,6.0,No,11.0,7.0,Extrovert
5529,0.0,,6.0,7.0,No,11.0,9.0,Extrovert
5530,,No,8.0,5.0,No,5.0,9.0,Extrovert
5531,2.0,No,4.0,6.0,No,6.0,5.0,Extrovert
5533,5.0,Yes,,2.0,Yes,1.0,0.0,Introvert
5534,11.0,No,8.0,4.0,No,10.0,5.0,Extrovert
5536,7.0,Yes,1.0,3.0,Yes,2.0,1.0,Introvert
5537,0.0,No,6.0,3.0,No,12.0,6.0,Extrovert
5538,3.0,No,5.0,5.0,No,4.0,4.0,Extrovert
5539,1.0,No,4.0,5.0,No,9.0,,Extrovert
5543,3.0,No,8.0,5.0,No,4.0,8.0,Extrovert
5544,3.0,No,4.0,4.0,No,10.0,8.0,Extrovert
5545,0.0,No,8.0,4.0,No,,6.0,Extrovert
5546,1.0,No,9.0,5.0,No,8.0,9.0,Extrovert
5547,3.0,No,9.0,7.0,No,10.0,3.0,Extrovert
5548,1.0,No,5.0,,No,8.0,4.0,Extrovert
5549,3.0,No,8.0,,No,11.0,5.0,Extrovert
5552,,No,7.0,3.0,No,,7.0,Extrovert
5553,0.0,No,4.0,3.0,No,10.0,8.0,Extrovert
5554,2.0,No,5.0,3.0,No,9.0,5.0,Extrovert
5555,3.0,No,6.0,5.0,No,7.0,4.0,Extrovert
5556,2.0,,4.0,3.0,No,8.0,8.0,Extrovert
5558,6.0,No,2.0,7.0,No,1.0,,Extrovert
5559,5.0,Yes,3.0,3.0,Yes,1.0,3.0,Introvert
5560,0.0,No,5.0,6.0,No,,6.0,Extrovert
5561,8.0,Yes,3.0,3.0,Yes,1.0,2.0,Introvert
5562,2.0,No,6.0,4.0,No,14.0,7.0,Extrovert
5563,2.0,No,9.0,5.0,No,9.0,4.0,Extrovert
5564,6.0,Yes,2.0,0.0,Yes,3.0,3.0,Introvert
5565,0.0,No,8.0,5.0,No,6.0,7.0,Extrovert
5566,9.0,Yes,0.0,1.0,Yes,0.0,,Introvert
5568,2.0,No,4.0,5.0,No,15.0,8.0,Extrovert
5570,3.0,No,5.0,5.0,No,7.0,4.0,Extrovert
5571,3.0,No,3.0,7.0,No,5.0,5.0,Extrovert
5572,1.0,No,6.0,5.0,No,11.0,7.0,Extrovert
5574,1.0,No,4.0,3.0,No,10.0,7.0,Extrovert
5575,1.0,No,7.0,4.0,No,9.0,10.0,Extrovert
5576,0.0,No,,5.0,No,8.0,8.0,Extrovert
5578,0.0,No,9.0,5.0,No,6.0,3.0,Extrovert
5579,3.0,No,9.0,,No,11.0,6.0,Extrovert
5580,2.0,No,4.0,,No,11.0,3.0,Extrovert
5583,2.0,No,4.0,4.0,No,15.0,5.0,Extrovert
5585,3.0,No,5.0,4.0,No,11.0,9.0,Extrovert
5586,3.0,No,3.0,4.0,No,4.0,5.0,Extrovert
5587,2.0,No,5.0,5.0,No,7.0,8.0,Extrovert
5588,0.0,No,9.0,5.0,No,6.0,5.0,Extrovert
5589,7.0,Yes,2.0,1.0,Yes,4.0,3.0,Introvert
5590,2.0,No,6.0,3.0,No,12.0,4.0,Extrovert
5592,3.0,No,8.0,6.0,No,12.0,3.0,Extrovert
5593,3.0,No,6.0,7.0,No,8.0,3.0,Extrovert
5594,1.0,No,7.0,4.0,No,11.0,9.0,Extrovert
5595,7.0,Yes,2.0,,Yes,5.0,1.0,Introvert
5596,2.0,No,7.0,6.0,No,15.0,7.0,Extrovert
5598,1.0,No,7.0,5.0,No,5.0,6.0,Extrovert
5600,1.0,No,10.0,4.0,No,12.0,6.0,Extrovert
5603,0.0,No,3.0,6.0,No,4.0,3.0,Extrovert
5604,1.0,No,8.0,4.0,No,14.0,10.0,Extrovert
5606,,No,7.0,3.0,No,5.0,9.0,Extrovert
5608,1.0,No,6.0,7.0,No,6.0,8.0,Extrovert
5610,4.0,No,9.0,4.0,No,7.0,4.0,Extrovert
5611,5.0,Yes,3.0,3.0,Yes,5.0,3.0,Introvert
5612,10.0,Yes,2.0,2.0,,4.0,2.0,Introvert
5613,0.0,No,6.0,3.0,No,14.0,9.0,Extrovert
5616,0.0,,9.0,4.0,No,11.0,4.0,Extrovert
5617,0.0,No,9.0,5.0,No,13.0,10.0,Extrovert
5618,3.0,No,8.0,4.0,No,15.0,,Extrovert
5619,0.0,No,5.0,4.0,No,11.0,6.0,Extrovert
5620,1.0,No,5.0,,No,,5.0,Extrovert
5621,2.0,No,5.0,5.0,No,6.0,8.0,Extrovert
5622,3.0,No,6.0,4.0,No,11.0,6.0,Extrovert
5623,0.0,No,9.0,7.0,No,9.0,6.0,Extrovert
5625,1.0,No,7.0,6.0,No,4.0,9.0,Extrovert
5627,3.0,No,10.0,5.0,No,12.0,8.0,Extrovert
5628,2.0,No,6.0,,No,10.0,7.0,Extrovert
5629,1.0,No,6.0,6.0,No,,9.0,Extrovert
5630,3.0,No,7.0,,No,12.0,5.0,Extrovert
5631,0.0,No,7.0,4.0,No,5.0,4.0,Extrovert
5632,3.0,No,6.0,6.0,No,5.0,9.0,Extrovert
5634,11.0,,5.0,2.0,Yes,4.0,2.0,Introvert
5638,0.0,No,9.0,5.0,No,8.0,10.0,Extrovert
5639,2.0,,7.0,5.0,No,11.0,3.0,Extrovert
5640,3.0,No,8.0,5.0,No,7.0,10.0,Extrovert
5641,3.0,No,6.0,6.0,No,7.0,8.0,Extrovert
5642,1.0,No,5.0,3.0,No,,5.0,Extrovert
5643,3.0,No,6.0,5.0,No,12.0,9.0,Extrovert
5644,8.0,Yes,3.0,3.0,Yes,2.0,1.0,Introvert
5645,3.0,No,8.0,4.0,No,7.0,,Extrovert
5646,4.0,No,3.0,3.0,No,5.0,5.0,Extrovert
5648,2.0,No,4.0,3.0,No,15.0,5.0,Extrovert
5649,3.0,No,9.0,5.0,,7.0,5.0,Extrovert
5650,3.0,No,6.0,5.0,No,,9.0,Extrovert
5652,2.0,No,3.0,3.0,No,11.0,9.0,Extrovert
5653,2.0,No,4.0,3.0,No,14.0,4.0,Extrovert
5654,9.0,Yes,2.0,0.0,Yes,,,Introvert
5656,0.0,No,4.0,4.0,No,5.0,6.0,Extrovert
5658,1.0,,9.0,5.0,No,10.0,8.0,Extrovert
5659,4.0,No,7.0,3.0,No,,8.0,Extrovert
5661,3.0,No,5.0,7.0,No,14.0,,Extrovert
5662,3.0,No,5.0,6.0,No,,6.0,Extrovert
5663,2.0,No,7.0,,No,8.0,5.0,Extrovert
5664,0.0,No,7.0,4.0,,10.0,4.0,Extrovert
5666,3.0,,4.0,6.0,No,14.0,,Extrovert
5668,3.0,No,9.0,5.0,No,,,Extrovert
5671,2.0,No,7.0,6.0,No,13.0,9.0,Extrovert
5674,3.0,No,4.0,7.0,No,10.0,8.0,Extrovert
5675,2.0,No,4.0,4.0,No,,4.0,Extrovert
5676,1.0,No,5.0,,No,10.0,5.0,Extrovert
5677,0.0,No,4.0,4.0,No,15.0,7.0,Extrovert
5678,1.0,No,8.0,6.0,No,10.0,,Extrovert
5680,6.0,Yes,1.0,,Yes,2.0,0.0,Introvert
5681,3.0,No,5.0,7.0,No,9.0,8.0,Extrovert
5683,2.0,No,4.0,3.0,No,4.0,5.0,Extrovert
5684,10.0,Yes,0.0,1.0,Yes,1.0,,Introvert
5686,0.0,No,7.0,3.0,No,7.0,8.0,Extrovert
5687,2.0,,7.0,7.0,No,15.0,4.0,Extrovert
5690,2.0,No,9.0,4.0,No,9.0,6.0,Extrovert
5691,0.0,No,5.0,5.0,No,5.0,3.0,Extrovert
5693,2.0,No,8.0,3.0,No,10.0,4.0,Extrovert
5695,,No,5.0,7.0,No,11.0,8.0,Extrovert
5696,2.0,No,4.0,3.0,No,9.0,8.0,Extrovert
5697,1.0,No,,6.0,No,7.0,4.0,Extrovert
5698,10.0,Yes,2.0,3.0,Yes,2.0,1.0,Introvert
5699,7.0,Yes,2.0,3.0,Yes,2.0,2.0,Introvert
5700,2.0,,5.0,5.0,No,12.0,8.0,Extrovert
5702,2.0,No,7.0,4.0,No,10.0,,Extrovert
5703,1.0,No,6.0,7.0,No,11.0,3.0,Extrovert
5704,10.0,Yes,3.0,,Yes,1.0,0.0,Introvert
5708,1.0,No,6.0,6.0,No,9.0,6.0,Extrovert
5709,1.0,No,6.0,7.0,No,13.0,5.0,Extrovert
5710,3.0,No,9.0,3.0,No,13.0,5.0,Extrovert
5711,,No,4.0,3.0,No,10.0,4.0,Extrovert
5714,3.0,No,7.0,4.0,No,7.0,6.0,Extrovert
5715,0.0,,4.0,7.0,No,13.0,8.0,Extrovert
5716,3.0,No,6.0,4.0,No,12.0,10.0,Extrovert
5717,2.0,No,7.0,3.0,No,6.0,3.0,Extrovert
5718,8.0,No,7.0,7.0,No,4.0,9.0,Introvert
5719,1.0,No,7.0,6.0,No,15.0,5.0,Extrovert
5720,7.0,Yes,,0.0,Yes,2.0,,Introvert
5722,0.0,No,8.0,6.0,No,7.0,6.0,Extrovert
5723,3.0,No,5.0,6.0,No,10.0,8.0,Extrovert
5724,2.0,No,3.0,6.0,No,6.0,9.0,Extrovert
5727,6.0,Yes,2.0,,Yes,1.0,0.0,Introvert
5728,3.0,No,7.0,6.0,No,9.0,9.0,Extrovert
5729,0.0,No,4.0,7.0,No,4.0,3.0,Extrovert
5730,5.0,Yes,,2.0,Yes,,1.0,Introvert
5732,4.0,No,6.0,5.0,No,14.0,10.0,Extrovert
5733,0.0,No,3.0,4.0,No,14.0,4.0,Extrovert
5735,0.0,No,4.0,4.0,No,5.0,7.0,Extrovert
5737,1.0,No,8.0,,No,11.0,9.0,Extrovert
5738,6.0,Yes,3.0,3.0,Yes,3.0,1.0,Introvert
5739,10.0,Yes,2.0,1.0,,3.0,2.0,Introvert
5743,10.0,Yes,0.0,2.0,Yes,5.0,3.0,Introvert
5744,1.0,No,9.0,4.0,No,11.0,5.0,Extrovert
5747,0.0,,7.0,5.0,No,8.0,3.0,Extrovert
5748,4.0,No,5.0,4.0,No,8.0,9.0,Extrovert
5750,6.0,Yes,,2.0,Yes,2.0,,Introvert
5751,11.0,Yes,1.0,0.0,Yes,2.0,3.0,Introvert
5752,3.0,No,6.0,6.0,No,14.0,8.0,Extrovert
5753,3.0,No,8.0,5.0,No,14.0,8.0,Extrovert
5755,1.0,No,7.0,4.0,No,,4.0,Extrovert
5757,2.0,No,10.0,7.0,No,15.0,3.0,Extrovert
5759,2.0,No,5.0,4.0,No,15.0,8.0,Extrovert
5760,3.0,No,9.0,5.0,No,9.0,10.0,Extrovert
5761,2.0,No,8.0,6.0,No,10.0,9.0,Extrovert
5762,3.0,No,4.0,6.0,No,15.0,3.0,Extrovert
5763,0.0,No,3.0,3.0,No,4.0,9.0,Extrovert
5764,3.0,No,7.0,,No,13.0,,Extrovert
5765,3.0,No,9.0,4.0,No,11.0,4.0,Extrovert
5767,2.0,,8.0,7.0,No,8.0,4.0,Extrovert
5768,0.0,,6.0,6.0,No,12.0,9.0,Extrovert
5769,9.0,Yes,2.0,,Yes,2.0,2.0,Introvert
5770,4.0,Yes,,0.0,Yes,5.0,1.0,Introvert
5771,3.0,,4.0,6.0,,12.0,7.0,Extrovert
5772,3.0,No,4.0,5.0,,9.0,8.0,Extrovert
5773,1.0,No,6.0,7.0,No,14.0,4.0,Extrovert
5774,6.0,No,7.0,,No,14.0,9.0,Extrovert
5775,2.0,No,7.0,4.0,No,8.0,6.0,Extrovert
5776,2.0,No,8.0,6.0,No,13.0,5.0,Extrovert
5777,3.0,No,9.0,3.0,No,5.0,4.0,Extrovert
5779,3.0,No,10.0,4.0,No,14.0,9.0,Extrovert
5780,8.0,Yes,2.0,1.0,Yes,4.0,1.0,Introvert
5781,1.0,No,5.0,7.0,No,10.0,5.0,Extrovert
5782,1.0,No,6.0,6.0,No,10.0,5.0,Extrovert
5784,1.0,No,5.0,3.0,No,15.0,4.0,Extrovert
5785,4.0,No,7.0,6.0,No,13.0,8.0,Extrovert
5787,3.0,No,6.0,3.0,No,11.0,9.0,Extrovert
5789,2.0,No,9.0,6.0,No,8.0,10.0,Extrovert
5791,1.0,No,,3.0,No,7.0,4.0,Extrovert
5792,0.0,No,9.0,3.0,No,,4.0,Extrovert
5793,,Yes,0.0,1.0,Yes,4.0,0.0,Introvert
5794,0.0,No,7.0,6.0,No,7.0,,Extrovert
5796,0.0,No,6.0,7.0,No,11.0,5.0,Extrovert
5797,4.0,No,8.0,6.0,No,13.0,9.0,Extrovert
5798,,No,5.0,5.0,,11.0,6.0,Extrovert
5799,0.0,No,6.0,4.0,No,15.0,4.0,Extrovert
5800,3.0,,9.0,5.0,No,10.0,9.0,Extrovert
5801,1.0,,6.0,4.0,No,6.0,5.0,Extrovert
5802,1.0,,5.0,4.0,No,12.0,7.0,Extrovert
5807,3.0,No,6.0,7.0,No,7.0,5.0,Extrovert
5808,0.0,No,9.0,4.0,No,11.0,7.0,Extrovert
5809,2.0,No,7.0,6.0,No,4.0,9.0,Extrovert
5810,6.0,Yes,1.0,1.0,Yes,3.0,0.0,Introvert
5811,1.0,No,3.0,4.0,No,5.0,7.0,Extrovert
5813,,No,8.0,4.0,No,11.0,8.0,Extrovert
5814,1.0,,9.0,5.0,No,7.0,3.0,Extrovert
5815,4.0,Yes,,1.0,Yes,3.0,1.0,Introvert
5816,4.0,Yes,0.0,0.0,Yes,0.0,2.0,Introvert
5817,9.0,Yes,,1.0,Yes,2.0,2.0,Introvert
5820,6.0,Yes,1.0,,Yes,4.0,2.0,Introvert
5821,3.0,No,4.0,,No,7.0,7.0,Extrovert
5822,3.0,No,7.0,5.0,No,,4.0,Extrovert
5823,2.0,No,9.0,7.0,No,12.0,10.0,Extrovert
5824,0.0,No,7.0,4.0,No,15.0,4.0,Extrovert
5825,3.0,No,10.0,,No,,10.0,Extrovert
5826,2.0,No,8.0,6.0,No,14.0,2.0,Extrovert
5827,9.0,Yes,0.0,1.0,Yes,5.0,,Introvert
5828,0.0,No,9.0,7.0,No,8.0,8.0,Extrovert
5829,0.0,No,4.0,7.0,No,6.0,7.0,Extrovert
5830,2.0,No,4.0,7.0,,7.0,6.0,Extrovert
5831,2.0,No,5.0,4.0,No,15.0,5.0,Extrovert
5834,3.0,No,4.0,3.0,No,14.0,,Extrovert
5835,,Yes,,2.0,Yes,1.0,0.0,Introvert
5836,4.0,,0.0,1.0,Yes,1.0,1.0,Introvert
5837,3.0,No,,6.0,No,8.0,5.0,Extrovert
5839,2.0,No,8.0,5.0,No,,6.0,Extrovert
5840,11.0,Yes,1.0,0.0,Yes,4.0,,Introvert
5841,3.0,No,6.0,4.0,No,6.0,4.0,Extrovert
5842,3.0,No,4.0,7.0,No,8.0,,Extrovert
5843,9.0,Yes,3.0,2.0,Yes,0.0,3.0,Introvert
5845,1.0,No,10.0,4.0,No,11.0,6.0,Extrovert
5846,1.0,No,5.0,,No,,9.0,Extrovert
5848,2.0,No,6.0,7.0,No,7.0,7.0,Extrovert
5849,11.0,No,6.0,5.0,No,,9.0,Introvert
5853,3.0,No,8.0,7.0,No,13.0,6.0,Extrovert
5854,2.0,No,8.0,4.0,No,13.0,5.0,Extrovert
5856,3.0,No,9.0,4.0,No,8.0,,Extrovert
5857,,No,8.0,4.0,No,14.0,4.0,Extrovert
5859,3.0,No,4.0,7.0,No,4.0,9.0,Extrovert
5860,1.0,No,6.0,7.0,No,13.0,6.0,Extrovert
5861,1.0,No,7.0,4.0,No,13.0,10.0,Extrovert
5864,0.0,No,9.0,7.0,No,10.0,6.0,Extrovert
5866,0.0,No,7.0,7.0,No,4.0,9.0,Extrovert
5868,4.0,Yes,0.0,0.0,Yes,3.0,0.0,Introvert
5869,0.0,No,5.0,6.0,No,,5.0,Extrovert
5872,3.0,No,7.0,,No,8.0,6.0,Extrovert
5873,3.0,No,7.0,5.0,No,9.0,7.0,Extrovert
5874,0.0,No,5.0,5.0,No,15.0,9.0,Extrovert
5876,3.0,No,7.0,3.0,No,5.0,5.0,Extrovert
5878,3.0,No,4.0,4.0,No,5.0,,Extrovert
5879,6.0,No,6.0,4.0,No,9.0,5.0,Extrovert
5880,3.0,No,9.0,4.0,No,5.0,8.0,Extrovert
5881,5.0,,2.0,0.0,Yes,2.0,0.0,Introvert
5882,0.0,No,5.0,3.0,,14.0,4.0,Extrovert
5883,1.0,No,6.0,7.0,No,10.0,6.0,Extrovert
5884,9.0,Yes,4.0,2.0,Yes,5.0,1.0,Introvert
5885,0.0,No,5.0,6.0,No,4.0,4.0,Extrovert
5886,1.0,No,6.0,4.0,No,,9.0,Extrovert
5887,7.0,Yes,3.0,1.0,Yes,0.0,0.0,Introvert
5888,2.0,No,7.0,3.0,No,14.0,5.0,Extrovert
5889,3.0,No,8.0,6.0,No,13.0,3.0,Extrovert
5890,11.0,Yes,2.0,2.0,,2.0,2.0,Introvert
5893,4.0,,2.0,1.0,Yes,4.0,0.0,Introvert
5895,11.0,Yes,1.0,2.0,Yes,,2.0,Introvert
5896,6.0,Yes,1.0,1.0,Yes,3.0,,Introvert
5897,2.0,No,9.0,6.0,No,12.0,,Extrovert
5898,3.0,No,3.0,4.0,No,7.0,7.0,Extrovert
5900,0.0,No,,6.0,No,7.0,8.0,Extrovert
5901,2.0,No,9.0,6.0,No,,9.0,Extrovert
5902,0.0,No,4.0,5.0,,5.0,4.0,Extrovert
5903,1.0,No,4.0,4.0,No,15.0,9.0,Extrovert
5904,2.0,No,6.0,7.0,No,14.0,6.0,Extrovert
5905,1.0,No,9.0,4.0,No,4.0,7.0,Extrovert
5907,5.0,,0.0,1.0,Yes,3.0,0.0,Introvert
5908,6.0,No,10.0,6.0,No,9.0,3.0,Introvert
5909,0.0,No,6.0,3.0,No,11.0,9.0,Extrovert
5910,3.0,No,9.0,5.0,No,7.0,8.0,Extrovert
5911,0.0,No,8.0,4.0,No,15.0,5.0,Extrovert
5913,0.0,No,4.0,5.0,No,7.0,3.0,Extrovert
5914,3.0,No,7.0,7.0,No,11.0,4.0,Extrovert
5917,4.0,Yes,0.0,2.0,,3.0,1.0,Introvert
5918,3.0,No,7.0,4.0,No,8.0,10.0,Extrovert
5919,2.0,No,4.0,6.0,No,9.0,9.0,Extrovert
5920,2.0,No,,5.0,No,7.0,4.0,Extrovert
5921,3.0,No,5.0,5.0,No,8.0,7.0,Extrovert
5923,11.0,Yes,1.0,2.0,Yes,,0.0,Introvert
5925,10.0,Yes,1.0,2.0,Yes,5.0,0.0,Introvert
5926,0.0,No,5.0,6.0,No,9.0,5.0,Extrovert
5927,0.0,No,6.0,4.0,No,6.0,,Extrovert
5930,2.0,No,4.0,3.0,No,9.0,5.0,Extrovert
5931,4.0,Yes,1.0,3.0,Yes,3.0,3.0,Introvert
5932,4.0,Yes,3.0,,Yes,0.0,0.0,Introvert
5933,3.0,No,6.0,5.0,No,5.0,5.0,Extrovert
5934,8.0,Yes,0.0,2.0,Yes,3.0,0.0,Introvert
5935,1.0,No,,6.0,No,9.0,4.0,Extrovert
5936,0.0,No,4.0,6.0,No,7.0,9.0,Extrovert
5939,1.0,No,3.0,4.0,No,8.0,5.0,Extrovert
5942,1.0,No,9.0,5.0,No,10.0,4.0,Extrovert
5944,3.0,No,9.0,3.0,No,10.0,7.0,Extrovert
5945,1.0,No,6.0,3.0,No,8.0,9.0,Extrovert
5946,3.0,No,6.0,6.0,No,14.0,9.0,Extrovert
5948,11.0,Yes,1.0,2.0,Yes,0.0,,Introvert
5951,5.0,Yes,1.0,1.0,Yes,0.0,,Introvert
5953,,Yes,3.0,0.0,Yes,0.0,1.0,Introvert
5954,0.0,No,6.0,4.0,No,11.0,,Extrovert
5958,1.0,No,6.0,4.0,No,15.0,3.0,Extrovert
5959,2.0,No,9.0,6.0,,14.0,5.0,Extrovert
5963,1.0,No,7.0,4.0,No,14.0,5.0,Extrovert
5964,,No,8.0,4.0,No,10.0,8.0,Extrovert
5965,0.0,No,5.0,4.0,No,13.0,5.0,Extrovert
5967,5.0,,0.0,0.0,Yes,2.0,1.0,Introvert
5968,3.0,,9.0,6.0,No,8.0,5.0,Extrovert
5972,9.0,Yes,0.0,,Yes,1.0,0.0,Introvert
5973,2.0,No,9.0,6.0,No,11.0,10.0,Extrovert
5974,1.0,,9.0,6.0,No,11.0,4.0,Extrovert
5975,5.0,Yes,2.0,,Yes,,,Introvert
5976,4.0,No,10.0,7.0,No,11.0,9.0,Extrovert
5977,11.0,Yes,,2.0,Yes,3.0,,Introvert
5978,2.0,No,6.0,3.0,No,6.0,,Extrovert
5980,6.0,Yes,0.0,0.0,,4.0,2.0,Introvert
5981,,No,7.0,4.0,No,14.0,4.0,Extrovert
5982,1.0,No,5.0,7.0,No,11.0,3.0,Extrovert
5983,0.0,,6.0,7.0,No,6.0,3.0,Extrovert
5984,2.0,No,10.0,4.0,No,10.0,,Extrovert
5985,0.0,No,7.0,,No,14.0,8.0,Extrovert
5986,0.0,No,6.0,6.0,No,9.0,5.0,Extrovert
5987,3.0,No,5.0,5.0,,14.0,8.0,Extrovert
5991,6.0,,3.0,1.0,Yes,4.0,0.0,Introvert
5993,3.0,,8.0,5.0,No,10.0,7.0,Extrovert
5994,5.0,Yes,2.0,1.0,Yes,,0.0,Introvert
5995,0.0,,9.0,5.0,No,14.0,3.0,Extrovert
5996,1.0,No,6.0,4.0,No,13.0,8.0,Extrovert
5998,4.0,No,9.0,3.0,No,6.0,8.0,Extrovert
5999,0.0,No,7.0,7.0,No,9.0,4.0,Extrovert
6004,2.0,,5.0,3.0,No,,,Extrovert
6005,1.0,No,4.0,5.0,No,8.0,5.0,Extrovert
6006,3.0,No,6.0,3.0,No,7.0,4.0,Extrovert
6008,2.0,No,4.0,3.0,No,6.0,7.0,Extrovert
6009,3.0,No,6.0,5.0,No,8.0,,Extrovert
6010,0.0,No,9.0,3.0,,4.0,3.0,Extrovert
6012,1.0,No,8.0,3.0,No,8.0,6.0,Extrovert
6013,2.0,No,4.0,3.0,No,15.0,4.0,Extrovert
