id,Time_spent_Alone,Stage_fear,Social_event_attendance,Going_outside,Drained_after_socializing,Friends_circle_size,Post_frequency,Personality,adv_prob
932,5.0,Yes,3.0,3.0,Yes,3.0,0.0,Introvert,0.13
933,2.0,,6.0,5.0,No,15.0,4.0,Extrovert,0.005
934,3.0,No,5.0,6.0,No,4.0,7.0,Extrovert,0.1
935,0.0,No,6.0,5.0,No,12.0,3.0,Extrovert,0.022000000000000002
936,9.0,Yes,1.0,1.0,Yes,2.0,,Introvert,0.01
937,1.0,No,4.0,5.0,No,5.0,7.0,Extrovert,0.19983333333333334
938,4.0,No,9.0,5.0,No,9.0,6.0,Extrovert,0.02
939,0.0,No,9.0,6.0,No,10.0,,Extrovert,0.018206349206349205
940,1.0,,4.0,7.0,No,10.0,3.0,Extrovert,0.02
941,2.0,No,10.0,4.0,No,7.0,4.0,Extrovert,0.04166666666666667
942,3.0,No,9.0,,No,14.0,3.0,Extrovert,0.03133333333333333
943,2.0,No,9.0,,No,7.0,5.0,Extrovert,0.6049761904761906
944,4.0,No,7.0,3.0,No,6.0,6.0,Extrovert,0.08507142857142858
945,10.0,No,3.0,3.0,No,5.0,3.0,Extrovert,0.08
946,7.0,Yes,3.0,2.0,,4.0,2.0,Introvert,0.08
947,3.0,No,6.0,7.0,No,12.0,9.0,Extrovert,0.02
948,0.0,No,5.0,6.0,No,8.0,7.0,Extrovert,0.0
949,6.0,,0.0,1.0,Yes,5.0,1.0,Introvert,0.15
950,9.0,Yes,,2.0,Yes,1.0,1.0,Introvert,0.04333333333333333
951,1.0,No,7.0,3.0,No,11.0,3.0,Extrovert,0.0925
952,1.0,No,8.0,6.0,No,,3.0,Extrovert,0.04
953,3.0,No,4.0,5.0,No,5.0,3.0,Extrovert,0.06766666666666667
954,0.0,No,5.0,7.0,No,7.0,5.0,Extrovert,0.013333333333333332
955,0.0,No,7.0,5.0,No,9.0,7.0,Extrovert,0.43057142857142866
956,0.0,,9.0,5.0,No,7.0,6.0,Extrovert,0.034
957,2.0,No,6.0,6.0,No,7.0,9.0,Extrovert,0.3276190476190476
958,1.0,No,5.0,4.0,No,10.0,4.0,Extrovert,0.0
959,3.0,No,9.0,4.0,No,6.0,8.0,Extrovert,0.06
960,1.0,No,5.0,6.0,No,15.0,4.0,Extrovert,0.04083333333333334
961,4.0,No,8.0,5.0,No,7.0,4.0,Extrovert,0.06
962,1.0,No,7.0,7.0,No,11.0,3.0,Extrovert,0.17666666666666664
963,3.0,No,8.0,6.0,No,14.0,4.0,Extrovert,0.16
964,5.0,Yes,3.0,0.0,Yes,7.0,1.0,Introvert,0.23
965,8.0,Yes,0.0,2.0,Yes,,2.0,Introvert,0.11
966,0.0,No,7.0,7.0,No,8.0,3.0,Extrovert,0.16583333333333336
967,0.0,,6.0,6.0,No,,8.0,Extrovert,0.023333333333333334
968,2.0,No,,3.0,No,8.0,6.0,Extrovert,0.0
969,11.0,,2.0,2.0,Yes,5.0,1.0,Introvert,0.05
970,2.0,,5.0,4.0,No,14.0,7.0,Extrovert,0.0
971,3.0,,4.0,5.0,No,5.0,6.0,Extrovert,0.01
972,7.0,Yes,3.0,,Yes,4.0,1.0,Introvert,0.16
973,3.0,No,4.0,6.0,No,4.0,4.0,Extrovert,0.04
974,,No,5.0,3.0,No,8.0,6.0,Extrovert,0.0
975,1.0,No,3.0,6.0,No,11.0,7.0,Extrovert,0.04
976,2.0,No,,5.0,No,10.0,7.0,Extrovert,0.012333333333333333
977,2.0,No,6.0,4.0,No,14.0,9.0,Extrovert,0.0625
978,1.0,No,5.0,6.0,No,10.0,8.0,Extrovert,0.03
979,0.0,,4.0,4.0,No,14.0,3.0,Extrovert,0.40164285714285713
980,3.0,No,4.0,4.0,No,6.0,,Extrovert,0.35552380952380935
981,9.0,Yes,2.0,0.0,,5.0,2.0,Introvert,0.14
982,0.0,No,8.0,6.0,No,4.0,9.0,Extrovert,0.1
983,,No,3.0,5.0,No,6.0,4.0,Extrovert,0.06
984,5.0,,3.0,2.0,Yes,3.0,0.0,Introvert,0.14
985,1.0,,9.0,4.0,No,12.0,8.0,Extrovert,0.4103571428571429
986,1.0,No,3.0,6.0,No,7.0,4.0,Extrovert,0.11
987,1.0,No,5.0,6.0,No,13.0,7.0,Extrovert,0.043166666666666666
988,1.0,No,4.0,5.0,No,5.0,3.0,Extrovert,0.04
989,11.0,Yes,1.0,0.0,Yes,0.0,1.0,Introvert,0.12
990,8.0,Yes,3.0,2.0,Yes,4.0,0.0,Introvert,0.14
991,,No,7.0,6.0,No,12.0,6.0,Extrovert,0.003333333333333333
992,0.0,No,8.0,6.0,No,8.0,5.0,Extrovert,0.017333333333333333
993,1.0,,7.0,3.0,No,11.0,6.0,Extrovert,0.052000000000000005
994,8.0,Yes,1.0,0.0,,4.0,,Introvert,0.02
995,1.0,No,9.0,6.0,No,10.0,4.0,Extrovert,0.0
996,4.0,Yes,1.0,,Yes,4.0,2.0,Introvert,0.06
997,1.0,No,8.0,,No,10.0,6.0,Extrovert,0.43221428571428566
998,5.0,,0.0,2.0,Yes,4.0,0.0,Introvert,0.01
999,2.0,No,7.0,,No,12.0,3.0,Extrovert,0.5197261904761905
1000,1.0,No,4.0,4.0,No,14.0,3.0,Extrovert,0.3519285714285713
1001,3.0,No,5.0,3.0,No,9.0,3.0,Extrovert,0.006666666666666666
1002,1.0,No,8.0,6.0,No,10.0,6.0,Extrovert,0.018500000000000003
1003,1.0,No,5.0,4.0,No,7.0,5.0,Extrovert,0.2415331890331889
1004,1.0,No,7.0,4.0,No,,3.0,Extrovert,0.3404126984126982
1005,7.0,Yes,3.0,,Yes,5.0,2.0,Introvert,0.14
1006,3.0,No,7.0,5.0,No,10.0,4.0,Extrovert,0.0625
1007,5.0,Yes,1.0,1.0,Yes,1.0,3.0,Introvert,0.12
1008,0.0,No,9.0,4.0,,14.0,8.0,Extrovert,0.0
1009,3.0,No,9.0,3.0,No,5.0,10.0,Extrovert,0.21
1010,0.0,,9.0,5.0,No,9.0,5.0,Extrovert,0.0
1011,1.0,No,7.0,6.0,No,9.0,6.0,Extrovert,0.04138095238095238
1012,1.0,No,7.0,5.0,No,,3.0,Extrovert,0.06316666666666668
1013,2.0,No,7.0,7.0,No,3.0,9.0,Introvert,0.0925
1014,3.0,No,8.0,,No,9.0,5.0,Extrovert,0.025
1015,10.0,Yes,3.0,,Yes,5.0,0.0,Introvert,0.12
1016,3.0,No,8.0,3.0,No,10.0,6.0,Extrovert,0.10833333333333334
1017,0.0,No,9.0,5.0,No,13.0,6.0,Extrovert,0.03
1018,2.0,No,6.0,5.0,No,12.0,,Extrovert,0.33321428571428563
1019,0.0,No,4.0,6.0,No,12.0,6.0,Extrovert,0.135
1020,3.0,No,6.0,3.0,No,10.0,3.0,Extrovert,0.04
1021,6.0,Yes,2.0,,,1.0,2.0,Introvert,0.04
1022,0.0,No,4.0,7.0,No,9.0,7.0,Extrovert,0.05999999999999999
1023,3.0,No,9.0,4.0,No,9.0,8.0,Extrovert,0.06
1024,0.0,No,7.0,5.0,No,15.0,9.0,Extrovert,0.21899999999999997
1025,1.0,No,4.0,6.0,No,11.0,10.0,Extrovert,0.07533333333333334
1026,8.0,Yes,3.0,0.0,Yes,6.0,0.0,Introvert,0.01
1027,0.0,No,7.0,4.0,No,7.0,7.0,Extrovert,0.006666666666666666
1028,8.0,,1.0,2.0,Yes,2.0,0.0,Introvert,0.05
1029,2.0,,9.0,6.0,No,10.0,8.0,Extrovert,0.016666666666666666
1030,1.0,No,6.0,4.0,No,5.0,9.0,Extrovert,0.35242857142857154
1031,11.0,Yes,3.0,0.0,Yes,4.0,2.0,Introvert,0.09
1032,8.0,Yes,1.0,0.0,,2.0,0.0,Introvert,0.06
1033,10.0,Yes,2.0,1.0,Yes,0.0,0.0,Introvert,0.21
1034,0.0,No,6.0,5.0,No,,,Extrovert,0.015
1035,0.0,No,7.0,5.0,No,14.0,,Extrovert,0.0
1036,5.0,Yes,1.0,0.0,Yes,2.0,0.0,Introvert,0.1
1037,4.0,Yes,2.0,3.0,Yes,1.0,2.0,Introvert,0.01
1038,3.0,No,7.0,5.0,No,10.0,7.0,Extrovert,0.0695
1039,11.0,Yes,2.0,1.0,Yes,1.0,,Introvert,0.09
1040,5.0,Yes,3.0,2.0,Yes,4.0,3.0,Introvert,0.02
1041,11.0,Yes,0.0,1.0,Yes,0.0,0.0,Introvert,0.09
1042,2.0,No,,5.0,No,5.0,9.0,Extrovert,0.0
1043,2.0,No,6.0,5.0,No,12.0,3.0,Extrovert,0.02
1044,11.0,Yes,,2.0,Yes,1.0,1.0,Introvert,0.08
1045,0.0,No,9.0,5.0,No,13.0,4.0,Extrovert,0.04
1046,3.0,No,7.0,6.0,No,11.0,7.0,Extrovert,0.08
1047,1.0,No,8.0,6.0,No,7.0,6.0,Extrovert,0.03666666666666667
1048,1.0,No,8.0,6.0,No,6.0,7.0,Extrovert,0.12
1049,0.0,No,4.0,5.0,No,14.0,,Extrovert,0.03333333333333333
1050,1.0,No,4.0,6.0,,15.0,4.0,Extrovert,0.5188095238095239
1051,2.0,No,7.0,5.0,No,,4.0,Extrovert,0.7466190476190475
1052,4.0,Yes,2.0,0.0,,4.0,,Introvert,0.07
1053,8.0,,2.0,0.0,Yes,1.0,2.0,Introvert,0.11
1054,1.0,No,6.0,4.0,No,11.0,8.0,Extrovert,0.16140476190476194
1055,3.0,No,4.0,7.0,No,15.0,3.0,Extrovert,0.005
1056,0.0,No,9.0,5.0,No,9.0,3.0,Extrovert,0.045
1057,0.0,No,,5.0,No,,7.0,Extrovert,0.2679801587301586
1058,0.0,No,7.0,5.0,No,13.0,5.0,Extrovert,0.4736428571428572
1059,3.0,,3.0,3.0,No,5.0,3.0,Extrovert,0.01
1060,,Yes,3.0,2.0,Yes,,0.0,Introvert,0.0
1061,5.0,Yes,2.0,,Yes,0.0,1.0,Introvert,0.16
1062,0.0,No,4.0,7.0,No,11.0,,Extrovert,0.051666666666666666
1063,0.0,No,9.0,3.0,No,5.0,,Extrovert,0.046
1064,1.0,No,3.0,3.0,No,11.0,4.0,Extrovert,0.1575
1065,,No,7.0,6.0,No,5.0,9.0,Extrovert,0.04
1066,1.0,No,8.0,6.0,No,13.0,8.0,Extrovert,0.035
1067,1.0,No,,5.0,No,5.0,8.0,Extrovert,0.02
1068,4.0,No,10.0,4.0,No,11.0,4.0,Extrovert,0.03
1069,2.0,No,7.0,7.0,No,11.0,6.0,Extrovert,0.02
1070,2.0,No,8.0,5.0,No,6.0,3.0,Extrovert,0.05616666666666666
1071,0.0,No,8.0,3.0,No,7.0,5.0,Extrovert,0.03283333333333333
1072,1.0,No,,5.0,No,11.0,6.0,Extrovert,0.07071428571428572
1073,0.0,No,5.0,5.0,No,12.0,9.0,Extrovert,0.01
1074,3.0,No,5.0,,No,12.0,3.0,Extrovert,0.3431547619047619
1075,1.0,,6.0,5.0,No,7.0,8.0,Extrovert,0.02
1076,3.0,No,3.0,4.0,No,11.0,3.0,Extrovert,0.03
1077,1.0,No,5.0,5.0,No,14.0,8.0,Extrovert,0.01
1078,0.0,,9.0,4.0,No,12.0,5.0,Extrovert,0.015
1079,3.0,No,6.0,5.0,No,9.0,3.0,Extrovert,0.15583333333333332
1080,2.0,No,6.0,,No,8.0,,Extrovert,0.0
1081,2.0,No,6.0,5.0,No,15.0,3.0,Extrovert,0.07416666666666666
1082,4.0,No,5.0,5.0,No,8.0,8.0,Extrovert,0.17
1083,0.0,No,5.0,3.0,No,11.0,8.0,Extrovert,0.33152380952380944
1084,7.0,Yes,3.0,2.0,Yes,,0.0,Introvert,0.05
1085,1.0,No,8.0,3.0,No,12.0,5.0,Extrovert,0.014999999999999998
1086,0.0,No,5.0,6.0,No,6.0,4.0,Extrovert,0.6425952380952379
1087,0.0,No,7.0,,No,14.0,9.0,Extrovert,0.05333333333333333
1088,4.0,No,10.0,7.0,No,11.0,8.0,Extrovert,0.15
1089,1.0,No,7.0,5.0,No,7.0,10.0,Extrovert,0.14
1090,0.0,No,5.0,5.0,No,3.0,5.0,Extrovert,0.23
1091,6.0,Yes,2.0,3.0,Yes,1.0,2.0,Introvert,0.06
1092,3.0,No,5.0,4.0,No,8.0,5.0,Extrovert,0.20951190476190468
1093,6.0,Yes,0.0,,,3.0,2.0,Introvert,0.06
1094,3.0,No,4.0,6.0,No,,7.0,Extrovert,0.4428333333333334
1095,3.0,,4.0,5.0,No,6.0,8.0,Extrovert,0.02
1096,0.0,No,5.0,7.0,No,7.0,6.0,Extrovert,0.13999999999999999
1097,2.0,,9.0,7.0,No,8.0,5.0,Extrovert,0.03571428571428571
1098,3.0,No,5.0,5.0,No,4.0,7.0,Extrovert,0.08
1099,3.0,No,5.0,4.0,No,11.0,3.0,Extrovert,0.2542499999999999
1100,3.0,,7.0,3.0,No,5.0,7.0,Extrovert,0.017
1101,5.0,Yes,1.0,3.0,Yes,2.0,0.0,Introvert,0.0
1102,3.0,No,8.0,5.0,No,9.0,8.0,Extrovert,0.14
1103,1.0,,9.0,6.0,No,10.0,9.0,Extrovert,0.04
1104,0.0,No,9.0,4.0,No,3.0,2.0,Extrovert,0.14
1105,0.0,,7.0,3.0,No,15.0,5.0,Extrovert,0.013333333333333332
1106,3.0,No,6.0,6.0,No,15.0,6.0,Extrovert,0.10666666666666667
1107,3.0,No,7.0,3.0,No,11.0,8.0,Extrovert,0.09
1108,2.0,No,4.0,3.0,No,4.0,8.0,Extrovert,0.11
1109,7.0,Yes,1.0,1.0,Yes,,1.0,Introvert,0.04
1110,7.0,Yes,2.0,2.0,Yes,2.0,3.0,Introvert,0.07
1111,2.0,No,8.0,3.0,,7.0,6.0,Extrovert,0.01
1112,1.0,No,9.0,7.0,No,11.0,4.0,Extrovert,0.115
1113,2.0,No,8.0,5.0,No,12.0,10.0,Extrovert,0.10933333333333334
1114,0.0,No,6.0,4.0,No,8.0,,Extrovert,0.0
1115,4.0,No,4.0,7.0,No,8.0,7.0,Extrovert,0.06
1116,3.0,No,6.0,6.0,No,,6.0,Extrovert,0.18100000000000002
1117,1.0,No,7.0,,No,13.0,9.0,Extrovert,0.08449999999999999
1118,7.0,Yes,2.0,,Yes,2.0,2.0,Introvert,0.07
1119,5.0,,1.0,2.0,Yes,4.0,1.0,Introvert,0.04
1120,3.0,No,10.0,5.0,No,8.0,8.0,Extrovert,0.099
1121,2.0,No,9.0,4.0,No,,7.0,Extrovert,0.47861904761904744
1122,0.0,No,7.0,5.0,No,4.0,5.0,Extrovert,0.14
1123,7.0,Yes,1.0,3.0,Yes,0.0,3.0,Introvert,0.1
1124,2.0,No,3.0,6.0,No,15.0,7.0,Extrovert,0.12
1125,0.0,No,4.0,4.0,No,10.0,4.0,Extrovert,0.04666666666666666
1126,8.0,,0.0,0.0,Yes,1.0,,Introvert,0.07
1127,1.0,No,4.0,5.0,No,12.0,4.0,Extrovert,0.095
1128,1.0,No,8.0,7.0,No,9.0,9.0,Extrovert,0.03
1129,0.0,No,,3.0,No,9.0,3.0,Extrovert,0.06033333333333334
1130,1.0,No,7.0,5.0,No,12.0,7.0,Extrovert,0.04333333333333334
1131,0.0,No,3.0,5.0,No,8.0,9.0,Extrovert,0.18100000000000002
1132,3.0,No,3.0,3.0,No,4.0,6.0,Extrovert,0.12666666666666665
1133,1.0,No,7.0,3.0,No,14.0,6.0,Extrovert,0.05083333333333333
1134,1.0,No,10.0,6.0,No,12.0,10.0,Extrovert,0.11
1135,0.0,No,8.0,5.0,No,12.0,5.0,Extrovert,0.08416666666666667
1136,1.0,No,8.0,6.0,No,10.0,3.0,Extrovert,0.09966666666666667
1137,0.0,No,8.0,6.0,No,5.0,8.0,Extrovert,0.01
1138,2.0,No,4.0,3.0,No,15.0,9.0,Extrovert,0.04666666666666666
1139,,Yes,3.0,2.0,Yes,5.0,1.0,Introvert,0.01
1140,,No,6.0,5.0,No,8.0,3.0,Extrovert,0.19028246753246747
1141,1.0,No,8.0,7.0,No,11.0,8.0,Extrovert,0.02
1142,4.0,No,6.0,7.0,No,8.0,7.0,Extrovert,0.06
1143,4.0,,0.0,1.0,Yes,1.0,0.0,Introvert,0.06
1144,6.0,Yes,1.0,2.0,,4.0,2.0,Introvert,0.12
1145,2.0,No,6.0,,No,8.0,8.0,Extrovert,0.5046666666666666
1146,4.0,Yes,1.0,1.0,Yes,5.0,3.0,Introvert,0.06
1147,2.0,No,9.0,5.0,No,12.0,,Extrovert,0.0
1148,1.0,No,8.0,6.0,No,7.0,8.0,Extrovert,0.07400000000000001
1149,1.0,No,4.0,5.0,No,12.0,9.0,Extrovert,0.09
1150,9.0,Yes,3.0,1.0,Yes,0.0,1.0,Introvert,0.16
1151,3.0,No,4.0,4.0,,11.0,5.0,Extrovert,0.0014285714285714286
1152,1.0,No,8.0,7.0,No,14.0,6.0,Extrovert,0.02
1153,0.0,No,9.0,5.0,No,9.0,6.0,Extrovert,0.01
1154,2.0,No,5.0,7.0,No,14.0,8.0,Extrovert,0.06000000000000001
1155,11.0,Yes,,2.0,Yes,5.0,0.0,Introvert,0.6124761904761905
1156,2.0,No,6.0,6.0,No,8.0,8.0,Extrovert,0.3486904761904762
1157,3.0,No,7.0,5.0,No,14.0,6.0,Extrovert,0.4881666666666666
1158,3.0,No,5.0,3.0,No,10.0,,Extrovert,0.0
1159,1.0,No,10.0,3.0,No,6.0,5.0,Extrovert,0.06333333333333332
1160,1.0,No,6.0,5.0,No,13.0,7.0,Extrovert,0.4754166666666667
1161,0.0,No,4.0,6.0,No,7.0,4.0,Extrovert,0.055
1162,1.0,No,8.0,3.0,,8.0,7.0,Extrovert,0.32938095238095244
1163,2.0,No,3.0,5.0,No,14.0,4.0,Extrovert,0.17666666666666664
1164,10.0,Yes,0.0,0.0,,2.0,2.0,Introvert,0.12
1165,2.0,,7.0,5.0,No,8.0,9.0,Extrovert,0.2592777777777776
1166,7.0,Yes,3.0,1.0,Yes,3.0,0.0,Introvert,0.08
1167,1.0,No,5.0,3.0,No,5.0,,Extrovert,0.087
1168,3.0,No,7.0,5.0,No,15.0,7.0,Extrovert,0.4056904761904762
1169,2.0,No,7.0,3.0,No,5.0,7.0,Extrovert,0.01
1170,4.0,No,10.0,7.0,No,12.0,5.0,Extrovert,0.06
1171,4.0,Yes,,0.0,Yes,0.0,0.0,Introvert,0.09766666666666665
1172,7.0,Yes,1.0,,Yes,5.0,3.0,Introvert,0.17
1173,2.0,,9.0,6.0,No,7.0,7.0,Extrovert,0.5159761904761905
1174,7.0,,,1.0,Yes,3.0,2.0,Introvert,0.2
1175,,No,6.0,7.0,No,8.0,7.0,Extrovert,0.6196060606060606
1176,1.0,No,6.0,6.0,No,10.0,9.0,Extrovert,0.2
1177,2.0,No,6.0,7.0,No,10.0,9.0,Extrovert,0.10916666666666666
1178,2.0,No,8.0,7.0,No,10.0,5.0,Extrovert,0.0125
1179,4.0,Yes,2.0,2.0,Yes,1.0,0.0,Introvert,0.07
1180,0.0,,8.0,3.0,No,14.0,4.0,Extrovert,0.4499285714285714
1181,3.0,No,9.0,4.0,No,9.0,6.0,Extrovert,0.41178571428571425
1182,3.0,No,5.0,7.0,No,10.0,,Extrovert,0.05083333333333333
1183,3.0,No,4.0,3.0,No,,8.0,Extrovert,0.01
1184,4.0,No,9.0,7.0,No,9.0,10.0,Extrovert,0.13
1185,2.0,No,5.0,6.0,No,14.0,8.0,Extrovert,0.5378333333333333
1186,2.0,No,9.0,7.0,,12.0,4.0,Extrovert,0.3131904761904762
1187,9.0,Yes,3.0,0.0,Yes,10.0,0.0,Introvert,0.0475
1188,2.0,No,9.0,5.0,No,7.0,3.0,Extrovert,0.026000000000000002
1189,3.0,No,7.0,4.0,No,5.0,7.0,Extrovert,0.18233333333333335
1190,3.0,No,5.0,4.0,No,7.0,5.0,Extrovert,0.2650674603174602
1191,4.0,No,4.0,7.0,No,6.0,3.0,Extrovert,0.04
1192,0.0,No,3.0,6.0,No,13.0,8.0,Extrovert,0.07
1193,5.0,Yes,2.0,2.0,Yes,5.0,,Introvert,0.11
1194,2.0,No,8.0,4.0,,7.0,5.0,Extrovert,0.24345238095238092
1195,0.0,No,6.0,7.0,No,8.0,3.0,Extrovert,0.034
1196,0.0,No,3.0,4.0,No,11.0,6.0,Extrovert,0.1
1197,10.0,Yes,,2.0,Yes,4.0,,Introvert,0.09
1198,2.0,No,7.0,5.0,No,6.0,3.0,Extrovert,0.3151190476190476
1199,6.0,Yes,3.0,1.0,Yes,2.0,3.0,Introvert,0.06
1200,0.0,No,5.0,5.0,No,12.0,5.0,Extrovert,0.37661111111111106
1201,0.0,No,4.0,5.0,No,9.0,7.0,Extrovert,0.04516666666666667
1202,8.0,,0.0,1.0,Yes,2.0,0.0,Introvert,0.18
1203,9.0,Yes,2.0,2.0,Yes,0.0,1.0,Introvert,0.13
1204,5.0,No,5.0,3.0,No,10.0,8.0,Extrovert,0.06999999999999999
1205,7.0,Yes,0.0,3.0,Yes,5.0,1.0,Introvert,0.01
1206,0.0,No,8.0,4.0,No,14.0,4.0,Extrovert,0.3308571428571429
1207,3.0,No,8.0,4.0,No,5.0,8.0,Extrovert,0.15
1208,2.0,,8.0,3.0,No,9.0,4.0,Extrovert,0.032
1209,5.0,Yes,3.0,0.0,Yes,0.0,3.0,Introvert,0.06
1210,3.0,No,8.0,6.0,No,13.0,9.0,Extrovert,0.04
1211,2.0,No,9.0,6.0,No,6.0,3.0,Extrovert,0.49333333333333335
1212,,No,5.0,3.0,No,6.0,9.0,Extrovert,0.4705952380952381
1213,0.0,No,7.0,6.0,No,4.0,8.0,Extrovert,0.02
1214,7.0,Yes,,0.0,Yes,2.0,2.0,Introvert,0.17
1215,5.0,Yes,1.0,3.0,Yes,5.0,0.0,Introvert,0.0
1216,2.0,No,5.0,7.0,No,13.0,5.0,Extrovert,0.0
1217,0.0,No,7.0,4.0,No,10.0,8.0,Extrovert,0.1875
1218,2.0,No,5.0,,No,10.0,4.0,Extrovert,0.012333333333333333
1219,3.0,No,5.0,5.0,,6.0,6.0,Extrovert,0.0459047619047619
1220,1.0,No,6.0,7.0,No,11.0,,Extrovert,0.4878333333333334
1221,9.0,Yes,1.0,0.0,,2.0,0.0,Introvert,0.07666666666666666
1222,2.0,No,8.0,6.0,No,11.0,4.0,Extrovert,0.13
1223,3.0,No,7.0,7.0,No,13.0,3.0,Extrovert,0.22
1224,0.0,No,4.0,,No,14.0,4.0,Extrovert,0.0
1225,3.0,No,7.0,4.0,No,7.0,7.0,Extrovert,0.4685
1226,3.0,No,6.0,6.0,No,10.0,6.0,Extrovert,0.16633333333333333
1227,0.0,No,6.0,3.0,No,15.0,4.0,Extrovert,0.026666666666666665
1228,2.0,No,3.0,4.0,No,6.0,3.0,Extrovert,0.16
1229,0.0,No,4.0,4.0,No,6.0,8.0,Extrovert,0.08
1230,0.0,Yes,3.0,2.0,Yes,3.0,1.0,Introvert,0.08
1231,6.0,Yes,3.0,1.0,Yes,1.0,2.0,Introvert,0.08
1232,2.0,No,9.0,5.0,No,6.0,4.0,Extrovert,0.08666666666666668
1233,7.0,Yes,2.0,2.0,Yes,1.0,0.0,Introvert,0.09
1234,9.0,Yes,,1.0,Yes,4.0,1.0,Introvert,0.1225
1235,9.0,Yes,2.0,,Yes,4.0,0.0,Introvert,0.08
1236,9.0,Yes,3.0,3.0,Yes,1.0,2.0,Introvert,0.095
1237,1.0,No,8.0,,No,6.0,6.0,Extrovert,0.06666666666666667
1238,2.0,No,9.0,3.0,No,5.0,4.0,Extrovert,0.35916666666666663
1239,0.0,No,4.0,5.0,No,9.0,10.0,Extrovert,0.026666666666666665
1240,8.0,,3.0,1.0,Yes,0.0,2.0,Introvert,0.26
1241,9.0,Yes,3.0,2.0,,4.0,0.0,Introvert,0.08
1242,3.0,No,7.0,3.0,No,13.0,7.0,Extrovert,0.17166666666666663
1243,3.0,No,4.0,3.0,No,10.0,5.0,Extrovert,0.039999999999999994
1244,1.0,No,3.0,7.0,No,13.0,5.0,Extrovert,0.02
1245,1.0,No,4.0,5.0,,14.0,3.0,Extrovert,0.4426666666666667
1246,2.0,No,,7.0,No,12.0,3.0,Extrovert,0.024166666666666666
1247,3.0,No,5.0,4.0,No,10.0,,Extrovert,0.6622817460317458
1248,,Yes,1.0,0.0,Yes,5.0,1.0,Introvert,0.24
1249,2.0,No,6.0,,No,8.0,7.0,Extrovert,0.6601129148629147
1250,,Yes,0.0,2.0,Yes,1.0,1.0,Introvert,0.14
1251,8.0,No,5.0,6.0,No,6.0,7.0,Extrovert,0.064
1252,0.0,No,5.0,5.0,,6.0,4.0,Extrovert,0.01
1253,8.0,Yes,1.0,0.0,Yes,5.0,3.0,Introvert,0.12
1254,0.0,No,6.0,,No,8.0,9.0,Extrovert,0.3687142857142857
1255,8.0,Yes,,2.0,,5.0,,Introvert,0.02
1256,1.0,No,6.0,3.0,No,11.0,3.0,Extrovert,0.1691666666666667
1257,,No,8.0,4.0,No,10.0,3.0,Extrovert,0.49117063492063484
1258,5.0,Yes,2.0,,Yes,2.0,2.0,Introvert,0.0125
1259,0.0,No,5.0,,No,13.0,7.0,Extrovert,0.4748333333333333
1260,4.0,Yes,2.0,3.0,Yes,0.0,2.0,Introvert,0.09
1261,0.0,No,8.0,6.0,No,8.0,,Extrovert,0.017333333333333333
1262,2.0,No,8.0,5.0,No,13.0,5.0,Extrovert,0.0
1263,10.0,Yes,3.0,3.0,Yes,4.0,3.0,Introvert,0.07
1264,2.0,No,9.0,,No,7.0,8.0,Extrovert,0.6964047619047621
1265,,No,9.0,3.0,No,15.0,6.0,Extrovert,0.03
1266,3.0,No,7.0,6.0,No,,6.0,Extrovert,0.6683571428571426
1267,2.0,No,4.0,5.0,No,4.0,4.0,Extrovert,0.458
1268,3.0,No,6.0,7.0,No,10.0,9.0,Extrovert,0.024
1269,2.0,No,4.0,6.0,No,13.0,3.0,Extrovert,0.4933333333333333
1270,1.0,,7.0,3.0,No,14.0,7.0,Extrovert,0.04166666666666666
1271,5.0,Yes,1.0,0.0,,4.0,2.0,Introvert,0.0
1272,3.0,No,7.0,5.0,No,13.0,6.0,Extrovert,0.075
1273,3.0,No,10.0,6.0,No,6.0,9.0,Extrovert,0.17
1274,6.0,,3.0,1.0,Yes,2.0,2.0,Introvert,0.09
1275,2.0,No,8.0,5.0,No,14.0,8.0,Extrovert,0.05285714285714285
1276,5.0,,1.0,0.0,Yes,3.0,2.0,Introvert,0.12
1277,11.0,Yes,1.0,0.0,Yes,3.0,0.0,Introvert,0.06
1278,,Yes,0.0,0.0,Yes,5.0,0.0,Introvert,0.17
1279,0.0,No,5.0,7.0,,12.0,3.0,Extrovert,0.02
1280,2.0,No,5.0,,No,11.0,7.0,Extrovert,0.5044303751803751
1281,8.0,Yes,1.0,0.0,,3.0,0.0,Introvert,0.01
1282,,No,6.0,,No,8.0,3.0,Extrovert,0.35769047619047617
1283,1.0,No,4.0,7.0,No,6.0,5.0,Extrovert,0.10983333333333334
1284,4.0,No,8.0,4.0,No,9.0,7.0,Extrovert,0.0
1285,1.0,No,8.0,7.0,No,7.0,5.0,Extrovert,0.0325
1286,2.0,No,8.0,7.0,No,8.0,4.0,Extrovert,0.031
1287,1.0,No,,5.0,No,15.0,9.0,Extrovert,0.025
1288,3.0,No,6.0,5.0,No,12.0,,Extrovert,0.035333333333333335
1289,3.0,No,,6.0,No,8.0,3.0,Extrovert,0.2771309523809523
1290,4.0,Yes,3.0,3.0,Yes,5.0,2.0,Introvert,0.2
1291,1.0,No,,4.0,No,13.0,7.0,Extrovert,0.0675
1292,3.0,Yes,2.0,1.0,Yes,0.0,0.0,Introvert,0.27
1293,6.0,,2.0,0.0,Yes,1.0,2.0,Introvert,0.03
1294,,No,4.0,4.0,No,8.0,7.0,Extrovert,0.0025
