id,Time_spent_Alone,Stage_fear,Social_event_attendance,Going_outside,Drained_after_socializing,Friends_circle_size,Post_frequency,Personality,dataset,error_type
11820,7.0,Yes,0.0,2.0,,5.0,1.0,Extrovert,train,misclassified
11847,0.0,No,7.0,5.0,No,10.0,3.0,Introvert,train,misclassified
11875,11.0,Yes,1.0,1.0,,0.0,2.0,Extrovert,train,misclassified
11936,2.0,,9.0,5.0,No,6.0,9.0,Introvert,train,misclassified
11937,10.0,,2.0,2.0,Yes,2.0,2.0,Extrovert,train,misclassified
11961,0.0,,6.0,5.0,No,10.0,6.0,Introvert,train,misclassified
11962,5.0,Yes,1.0,2.0,Yes,2.0,2.0,Extrovert,train,misclassified
11981,0.0,No,7.0,5.0,,14.0,5.0,Introvert,train,misclassified
12061,4.0,Yes,0.0,1.0,Yes,3.0,2.0,Extrovert,train,misclassified
12105,5.0,Yes,2.0,1.0,Yes,4.0,1.0,Extrovert,train,misclassified
12139,3.0,No,8.0,7.0,No,3.0,9.0,Introvert,train,misclassified
12149,0.0,Yes,3.0,0.0,,4.0,2.0,Extrovert,train,misclassified
12170,1.0,No,3.0,6.0,No,5.0,7.0,Introvert,train,misclassified
12254,1.0,No,9.0,7.0,,12.0,8.0,Introvert,train,misclassified
12283,,No,6.0,5.0,No,14.0,7.0,Introvert,train,misclassified
12288,3.0,,8.0,6.0,No,12.0,7.0,Introvert,train,misclassified
12294,6.0,Yes,5.0,0.0,Yes,3.0,2.0,Extrovert,train,misclassified
12372,7.0,Yes,1.0,3.0,Yes,4.0,2.0,Extrovert,train,misclassified
12382,6.0,,2.0,1.0,Yes,3.0,1.0,Extrovert,train,misclassified
12385,9.0,Yes,2.0,3.0,Yes,3.0,0.0,Extrovert,train,misclassified
12399,0.0,No,3.0,6.0,No,3.0,7.0,Introvert,train,misclassified
12412,8.0,Yes,0.0,3.0,Yes,3.0,3.0,Extrovert,train,misclassified
12428,0.0,No,5.0,5.0,No,12.0,4.0,Introvert,train,misclassified
12439,8.0,Yes,0.0,1.0,Yes,1.0,3.0,Extrovert,train,misclassified
12472,1.0,No,9.0,6.0,No,10.0,6.0,Introvert,train,misclassified
12483,10.0,Yes,2.0,0.0,Yes,1.0,3.0,Extrovert,train,misclassified
12491,8.0,Yes,3.0,1.0,Yes,5.0,3.0,Extrovert,train,misclassified
12517,4.0,Yes,,2.0,Yes,5.0,2.0,Extrovert,train,misclassified
12555,4.0,Yes,3.0,0.0,Yes,3.0,3.0,Extrovert,train,misclassified
12607,2.0,No,5.0,,No,6.0,8.0,Introvert,train,misclassified
12635,2.0,No,7.0,6.0,No,5.0,8.0,Introvert,train,misclassified
12666,3.0,No,9.0,6.0,No,4.0,9.0,Introvert,train,misclassified
12714,,Yes,,0.0,Yes,3.0,1.0,Extrovert,train,misclassified
12788,6.0,Yes,1.0,3.0,Yes,5.0,2.0,Extrovert,train,misclassified
12811,0.0,No,7.0,7.0,No,15.0,7.0,Introvert,train,misclassified
12833,4.0,Yes,3.0,0.0,Yes,1.0,3.0,Extrovert,train,misclassified
12838,3.0,Yes,0.0,2.0,Yes,3.0,0.0,Extrovert,train,misclassified
12869,0.0,No,5.0,6.0,No,5.0,7.0,Introvert,train,misclassified
12880,9.0,Yes,0.0,2.0,Yes,2.0,2.0,Extrovert,train,misclassified
12901,0.0,No,4.0,5.0,No,4.0,9.0,Introvert,train,misclassified
12907,10.0,Yes,0.0,1.0,Yes,1.0,0.0,Extrovert,train,misclassified
12912,4.0,No,9.0,5.0,No,12.0,8.0,Introvert,train,misclassified
12942,0.0,No,9.0,7.0,No,8.0,4.0,Introvert,train,misclassified
12983,,No,6.0,6.0,No,7.0,6.0,Introvert,train,misclassified
13033,9.0,Yes,2.0,2.0,Yes,4.0,3.0,Extrovert,train,misclassified
13037,4.0,Yes,3.0,0.0,,1.0,1.0,Extrovert,train,misclassified
13041,2.0,No,5.0,6.0,No,15.0,4.0,Introvert,train,misclassified
13126,2.0,No,6.0,7.0,No,14.0,3.0,Introvert,train,misclassified
13140,9.0,Yes,3.0,0.0,Yes,,1.0,Extrovert,train,misclassified
13158,4.0,No,5.0,7.0,No,13.0,7.0,Introvert,train,misclassified
13172,,No,10.0,6.0,No,15.0,8.0,Introvert,train,misclassified
13173,2.0,No,6.0,5.0,No,15.0,4.0,Introvert,train,misclassified
13225,11.0,Yes,0.0,0.0,Yes,0.0,2.0,Extrovert,train,misclassified
13269,4.0,Yes,1.0,2.0,Yes,0.0,0.0,Extrovert,train,misclassified
13344,11.0,Yes,1.0,2.0,Yes,3.0,0.0,Extrovert,train,misclassified
13395,11.0,Yes,1.0,0.0,Yes,0.0,2.0,Extrovert,train,misclassified
13444,9.0,Yes,0.0,1.0,,4.0,1.0,Extrovert,train,misclassified
13447,4.0,Yes,3.0,0.0,Yes,4.0,0.0,Extrovert,train,misclassified
13460,4.0,No,6.0,6.0,No,7.0,6.0,Introvert,train,misclassified
13468,9.0,Yes,0.0,1.0,No,3.0,,Extrovert,train,misclassified
13477,0.0,No,8.0,7.0,No,10.0,9.0,Introvert,train,misclassified
13484,6.0,,0.0,,Yes,4.0,1.0,Extrovert,train,misclassified
13491,0.0,No,4.0,6.0,No,12.0,7.0,Introvert,train,misclassified
13508,2.0,No,7.0,7.0,No,11.0,8.0,Introvert,train,misclassified
13521,3.0,,4.0,6.0,No,11.0,4.0,Introvert,train,misclassified
13551,2.0,No,6.0,5.0,No,14.0,4.0,Introvert,train,misclassified
13577,,No,5.0,7.0,No,14.0,3.0,Introvert,train,misclassified
13599,,No,6.0,3.0,No,8.0,6.0,Introvert,train,misclassified
13608,3.0,No,6.0,5.0,No,15.0,9.0,Introvert,train,misclassified
13620,9.0,,3.0,2.0,Yes,5.0,0.0,Extrovert,train,misclassified
13727,6.0,Yes,2.0,2.0,Yes,1.0,2.0,Extrovert,train,misclassified
13792,0.0,No,6.0,4.0,No,10.0,3.0,Introvert,train,misclassified
13799,5.0,Yes,2.0,2.0,Yes,5.0,0.0,Extrovert,train,misclassified
13897,6.0,Yes,3.0,1.0,Yes,2.0,0.0,Extrovert,train,misclassified
13927,,No,5.0,6.0,No,4.0,6.0,Introvert,train,misclassified
13950,3.0,Yes,1.0,2.0,Yes,4.0,1.0,Extrovert,train,misclassified
14083,0.0,,7.0,4.0,No,7.0,8.0,Introvert,train,misclassified
14121,3.0,No,3.0,6.0,No,14.0,9.0,Introvert,train,misclassified
14188,11.0,Yes,2.0,2.0,Yes,1.0,1.0,Extrovert,train,misclassified
14205,1.0,,8.0,5.0,No,14.0,6.0,Introvert,train,misclassified
14256,10.0,Yes,0.0,2.0,Yes,3.0,2.0,Extrovert,train,misclassified
14296,5.0,Yes,2.0,0.0,Yes,0.0,1.0,Extrovert,train,misclassified
14378,0.0,No,5.0,4.0,No,14.0,6.0,Introvert,train,misclassified
14415,7.0,Yes,3.0,2.0,Yes,,2.0,Extrovert,train,misclassified
14503,0.0,No,5.0,,No,14.0,7.0,Introvert,train,misclassified
14530,6.0,Yes,0.0,1.0,Yes,4.0,3.0,Extrovert,train,misclassified
14634,2.0,Yes,3.0,0.0,Yes,4.0,2.0,Extrovert,train,misclassified
14729,9.0,Yes,3.0,2.0,Yes,2.0,0.0,Extrovert,train,misclassified
14753,3.0,No,3.0,4.0,No,3.0,0.0,Introvert,train,misclassified
14795,0.0,No,8.0,4.0,No,14.0,6.0,Introvert,train,misclassified
14813,9.0,Yes,0.0,0.0,Yes,4.0,2.0,Extrovert,train,misclassified
14837,8.0,Yes,2.0,1.0,,2.0,2.0,Extrovert,train,misclassified
14847,2.0,No,9.0,6.0,No,15.0,7.0,Introvert,train,misclassified
14883,5.0,Yes,3.0,3.0,Yes,0.0,1.0,Extrovert,train,misclassified
14898,5.0,,0.0,1.0,Yes,4.0,,Extrovert,train,misclassified
14954,10.0,Yes,3.0,2.0,Yes,2.0,3.0,Extrovert,train,misclassified
15072,2.0,No,8.0,,No,8.0,6.0,Introvert,train,misclassified
15115,3.0,No,8.0,7.0,No,6.0,4.0,Introvert,train,misclassified
15119,2.0,No,8.0,7.0,No,7.0,10.0,Introvert,train,misclassified
15129,,Yes,3.0,1.0,Yes,3.0,2.0,Extrovert,train,misclassified
15131,11.0,Yes,1.0,3.0,Yes,4.0,2.0,Extrovert,train,misclassified
15149,0.0,,4.0,6.0,No,7.0,5.0,Introvert,train,misclassified
15228,4.0,Yes,0.0,0.0,Yes,5.0,2.0,Extrovert,train,misclassified
15255,1.0,No,8.0,6.0,No,10.0,10.0,Introvert,train,misclassified
15355,6.0,Yes,0.0,3.0,Yes,4.0,1.0,Extrovert,train,misclassified
15370,,No,6.0,7.0,No,12.0,7.0,Introvert,train,misclassified
15395,4.0,No,7.0,7.0,No,4.0,7.0,Introvert,train,misclassified
15443,4.0,Yes,0.0,2.0,Yes,3.0,0.0,Extrovert,train,misclassified
15454,0.0,No,,7.0,No,14.0,7.0,Introvert,train,misclassified
15484,10.0,No,3.0,0.0,Yes,,3.0,Extrovert,train,misclassified
15493,7.0,Yes,0.0,1.0,Yes,5.0,2.0,Extrovert,train,misclassified
15504,4.0,No,3.0,7.0,No,13.0,8.0,Introvert,train,misclassified
15537,9.0,Yes,5.0,3.0,Yes,5.0,3.0,Extrovert,train,misclassified
15540,7.0,Yes,3.0,0.0,Yes,,0.0,Extrovert,train,misclassified
15568,7.0,Yes,1.0,1.0,Yes,0.0,,Extrovert,train,misclassified
15589,2.0,No,5.0,5.0,No,15.0,9.0,Introvert,train,misclassified
15648,11.0,Yes,1.0,3.0,Yes,2.0,2.0,Extrovert,train,misclassified
15654,0.0,No,7.0,7.0,No,3.0,7.0,Introvert,train,misclassified
15678,1.0,,6.0,5.0,No,5.0,9.0,Introvert,train,misclassified
15683,0.0,No,6.0,6.0,No,13.0,7.0,Introvert,train,misclassified
15709,10.0,Yes,,1.0,Yes,2.0,1.0,Extrovert,train,misclassified
15743,2.0,No,6.0,7.0,No,5.0,5.0,Introvert,train,misclassified
15908,10.0,Yes,1.0,,Yes,1.0,2.0,Extrovert,train,misclassified
15946,0.0,Yes,2.0,0.0,Yes,4.0,1.0,Extrovert,train,misclassified
15960,4.0,No,9.0,6.0,No,10.0,7.0,Introvert,train,misclassified
15972,1.0,No,6.0,4.0,No,15.0,,Introvert,train,misclassified
16145,2.0,No,6.0,7.0,No,11.0,9.0,Introvert,train,misclassified
16165,11.0,Yes,2.0,1.0,Yes,4.0,3.0,Extrovert,train,misclassified
16188,3.0,No,5.0,7.0,No,5.0,8.0,Introvert,train,misclassified
16204,4.0,Yes,3.0,2.0,Yes,,1.0,Extrovert,train,misclassified
16244,3.0,,6.0,5.0,No,12.0,3.0,Introvert,train,misclassified
16275,0.0,,5.0,4.0,No,15.0,4.0,Introvert,train,misclassified
16371,3.0,No,5.0,7.0,No,6.0,7.0,Introvert,train,misclassified
16400,,No,8.0,,No,12.0,9.0,Introvert,train,misclassified
16434,4.0,Yes,1.0,1.0,Yes,5.0,2.0,Extrovert,train,misclassified
16473,4.0,Yes,0.0,2.0,Yes,2.0,3.0,Extrovert,train,misclassified
16567,0.0,No,9.0,6.0,No,13.0,9.0,Introvert,train,misclassified
16638,0.0,No,9.0,7.0,No,13.0,5.0,Introvert,train,misclassified
16643,8.0,,3.0,2.0,Yes,4.0,0.0,Extrovert,train,misclassified
16655,3.0,No,,5.0,No,11.0,10.0,Introvert,train,misclassified
16703,0.0,No,5.0,3.0,No,10.0,10.0,Introvert,train,misclassified
16783,3.0,No,6.0,3.0,No,15.0,9.0,Introvert,train,misclassified
16801,0.0,No,10.0,5.0,No,9.0,9.0,Introvert,train,misclassified
16847,0.0,No,9.0,5.0,No,12.0,3.0,Introvert,train,misclassified
16848,1.0,No,,4.0,No,9.0,3.0,Introvert,train,misclassified
16854,1.0,No,7.0,5.0,No,8.0,7.0,Introvert,train,misclassified
16917,3.0,Yes,2.0,0.0,Yes,5.0,0.0,Extrovert,train,misclassified
16953,1.0,No,9.0,7.0,No,12.0,8.0,Introvert,train,misclassified
16976,1.0,No,6.0,4.0,,13.0,5.0,Introvert,train,misclassified
17013,10.0,Yes,3.0,,Yes,5.0,1.0,Extrovert,train,misclassified
17091,3.0,No,4.0,3.0,No,8.0,7.0,Introvert,train,misclassified
17116,6.0,No,4.0,6.0,No,8.0,7.0,Introvert,train,misclassified
17141,6.0,Yes,0.0,2.0,Yes,2.0,2.0,Extrovert,train,misclassified
17143,10.0,,2.0,0.0,Yes,5.0,2.0,Extrovert,train,misclassified
17287,1.0,No,8.0,,No,5.0,8.0,Introvert,train,misclassified
17369,0.0,No,6.0,5.0,,8.0,8.0,Introvert,train,misclassified
17386,9.0,Yes,1.0,2.0,Yes,0.0,6.0,Extrovert,train,misclassified
17454,5.0,Yes,0.0,3.0,Yes,4.0,2.0,Extrovert,train,misclassified
17483,3.0,No,7.0,7.0,No,15.0,,Introvert,train,misclassified
17621,4.0,No,7.0,7.0,No,15.0,4.0,Introvert,train,misclassified
17641,9.0,Yes,3.0,1.0,Yes,5.0,2.0,Extrovert,train,misclassified
17678,10.0,Yes,2.0,3.0,Yes,0.0,2.0,Extrovert,train,misclassified
17733,7.0,Yes,2.0,1.0,Yes,7.0,2.0,Extrovert,train,misclassified
17734,0.0,No,9.0,4.0,No,9.0,6.0,Introvert,train,misclassified
17750,9.0,Yes,1.0,1.0,Yes,5.0,3.0,Extrovert,train,misclassified
17793,,No,5.0,3.0,No,15.0,8.0,Introvert,train,misclassified
17816,2.0,No,7.0,7.0,No,5.0,9.0,Introvert,train,misclassified
17930,11.0,Yes,0.0,0.0,,3.0,0.0,Extrovert,train,misclassified
17989,3.0,No,6.0,6.0,No,12.0,8.0,Introvert,train,misclassified
17992,,No,7.0,4.0,No,11.0,3.0,Introvert,train,misclassified
18018,6.0,Yes,0.0,2.0,Yes,0.0,2.0,Extrovert,train,misclassified
18148,6.0,Yes,1.0,3.0,Yes,3.0,3.0,Extrovert,train,misclassified
18214,,,0.0,3.0,,4.0,3.0,Introvert,train,misclassified
18276,0.0,No,9.0,5.0,No,10.0,9.0,Introvert,train,misclassified
18282,9.0,Yes,2.0,0.0,Yes,8.0,0.0,Extrovert,train,misclassified
18312,0.0,No,5.0,6.0,No,15.0,9.0,Introvert,train,misclassified
18317,11.0,,0.0,0.0,Yes,2.0,0.0,Extrovert,train,misclassified
18337,5.0,Yes,3.0,,,4.0,2.0,Extrovert,train,misclassified
18377,5.0,Yes,2.0,0.0,Yes,7.0,1.0,Extrovert,train,misclassified
18437,11.0,Yes,0.0,2.0,Yes,0.0,3.0,Extrovert,train,misclassified
18443,,No,7.0,4.0,No,9.0,4.0,Introvert,train,misclassified
18486,3.0,No,5.0,3.0,No,6.0,8.0,Introvert,train,misclassified
18876,10.0,No,,6.0,No,10.0,7.0,Extrovert,test,potential_misclassified
18954,2.0,No,0.0,7.0,No,12.0,4.0,Extrovert,test,potential_misclassified
19192,1.0,No,6.0,6.0,No,2.0,9.0,Extrovert,test,potential_misclassified
19410,3.0,No,8.0,5.0,No,1.0,9.0,Extrovert,test,potential_misclassified
19612,5.0,No,0.0,0.0,Yes,4.0,3.0,Extrovert,test,potential_misclassified
20765,10.0,No,8.0,4.0,No,12.0,3.0,Extrovert,test,potential_misclassified
20786,3.0,No,9.0,3.0,No,0.0,8.0,Extrovert,test,potential_misclassified
20985,1.0,Yes,0.0,1.0,Yes,5.0,0.0,Introvert,test,potential_misclassified
21294,0.0,Yes,1.0,1.0,Yes,3.0,1.0,Introvert,test,potential_misclassified
21359,11.0,No,3.0,1.0,No,4.0,2.0,Extrovert,test,potential_misclassified
21457,1.0,Yes,3.0,2.0,Yes,2.0,0.0,Introvert,test,potential_misclassified
21800,10.0,No,3.0,4.0,No,5.0,1.0,Extrovert,test,potential_misclassified
22028,0.0,No,7.0,4.0,No,1.0,8.0,Extrovert,test,potential_misclassified
22049,0.0,No,0.0,5.0,No,9.0,5.0,Extrovert,test,potential_misclassified
22291,4.0,No,3.0,,No,2.0,2.0,Extrovert,test,potential_misclassified
22547,11.0,No,5.0,4.0,No,6.0,5.0,Extrovert,test,potential_misclassified
22660,10.0,,5.0,4.0,No,14.0,3.0,Extrovert,test,potential_misclassified
23336,9.0,No,2.0,4.0,No,4.0,3.0,Extrovert,test,potential_misclassified
23418,8.0,No,2.0,3.0,No,4.0,,Extrovert,test,potential_misclassified
23547,11.0,No,9.0,6.0,No,13.0,4.0,Extrovert,test,potential_misclassified
23844,11.0,No,2.0,4.0,No,2.0,3.0,Extrovert,test,potential_misclassified
24143,0.0,No,9.0,5.0,No,2.0,9.0,Extrovert,test,potential_misclassified
24428,4.0,Yes,0.0,1.0,Yes,15.0,2.0,Introvert,test,potential_misclassified
